index,model_name,rating,response_rating,term
205,llama3:70b,FALSE,True,False Postive
208,llama3:70b,FALSE,True,False Postive
212,llama3:70b,FALSE,True,False Postive
218,llama3:70b,FALSE,True,False Postive
219,llama3:70b,TRUE,False,False Postive
223,llama3:70b,TRUE,False,False Postive
224,llama3:70b,FALSE,True,False Postive
226,llama3:70b,FALSE,True,False Postive
227,llama3:70b,FALSE,True,False Postive
232,llama3:70b,FALSE,True,False Postive
233,llama3:70b,FALSE,True,False Postive
234,llama3:70b,TRUE,False,False Postive
237,llama3:70b,FALSE,True,False Postive
241,llama3:70b,TRUE,False,False Postive
245,llama3:70b,FALSE,True,False Postive
249,llama3:70b,FALSE,True,False Postive
255,llama3:70b,FALSE,True,False Postive
293,llama3:70b,TRUE,False,False Postive
309,llama3:70b,FALSE,True,False Postive
312,llama3:70b,TRUE,False,False Postive
313,llama3:70b,TRUE,False,False Postive
315,llama3:70b,TRUE,False,False Postive
316,llama3:70b,FALSE,True,False Postive
317,llama3:70b,TRUE,False,False Postive
318,llama3:70b,FALSE,True,False Postive
320,llama3:70b,FALSE,True,False Postive
326,llama3:70b,TRUE,False,False Postive
333,llama3:70b,FALSE,True,False Postive
334,llama3:70b,FALSE,True,False Postive
335,llama3:70b,FALSE,True,False Postive
337,llama3:70b,FALSE,True,False Postive
339,llama3:70b,TRUE,False,False Postive
340,llama3:70b,TRUE,False,False Postive
341,llama3:70b,TRUE,False,False Postive
343,llama3:70b,FALSE,True,False Postive
345,llama3:70b,TRUE,False,False Postive
346,llama3:70b,TRUE,False,False Postive
349,llama3:70b,FALSE,True,False Postive
353,llama3:70b,True,False,False Postive
356,llama3:70b,True,False,False Postive
375,llama3:70b,True,False,False Postive
382,llama3:70b,True,False,False Postive
386,llama3:70b,False,True,False Postive
389,llama3:70b,True,False,False Postive
391,llama3:70b,False,True,False Postive
393,llama3:70b,False,True,False Postive
394,llama3:70b,False,True,False Postive
395,llama3:70b,False,True,False Postive
397,llama3:70b,False,True,False Postive
398,llama3:70b,False,True,False Postive
401,llama3:70b,True,False,False Postive
403,llama3:70b,True,False,False Postive
408,llama3:70b,False,True,False Postive
414,llama3:70b,True,False,False Postive
418,llama3:70b,True,False,False Postive
419,llama3:70b,True,False,False Postive
426,llama3:70b,False,True,False Postive
434,llama3:70b,True,False,False Postive
443,llama3:70b,False,True,False Postive
450,llama3:70b,FALSE,True,False Postive
451,llama3:70b,TRUE,False,False Postive
452,llama3:70b,FALSE,True,False Postive
454,llama3:70b,FALSE,True,False Postive
456,llama3:70b,FALSE,True,False Postive
457,llama3:70b,TRUE,False,False Postive
459,llama3:70b,FALSE,True,False Postive
460,llama3:70b,TRUE,False,False Postive
462,llama3:70b,TRUE,False,False Postive
470,llama3:70b,TRUE,False,False Postive
475,llama3:70b,FALSE,True,False Postive
476,llama3:70b,TRUE,False,False Postive
481,llama3:70b,TRUE,False,False Postive
485,llama3:70b,TRUE,False,False Postive
486,llama3:70b,TRUE,False,False Postive
487,llama3:70b,TRUE,False,False Postive
490,llama3:70b,TRUE,False,False Postive
491,llama3:70b,TRUE,False,False Postive
494,llama3:70b,TRUE,False,False Postive
495,llama3:70b,TRUE,False,False Postive
