dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rating,final_rating,explanation,gpt-4o_without,gpt-4o_all,gpt-3.5-turbo_all,gpt-3.5-turbo_without,llama3:8b_all,llama3:70b_all,llama3:8b_without,llama3:70b_without
value-equality,mall::::mall-admin/src/main/resources/application-dev.yml::::minio.bucketName::::mall <-> mall::::mall-mbg/pom.xml::::project::::parent_mall::::artifactId::::mall,mall,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-dev.yml,spring,project.parent_mall.artifactId,mall,ConfigType.NAME,mall-mbg/pom.xml,maven,Borderline,FALSE,options do not depend on each other,False,False,False,False,False,False,False,False
value-equality,mall::::mall-admin/src/main/resources/application-dev.yml::::minio.bucketName::::mall <-> mall::::mall-portal/src/main/resources/application-prod.yml::::spring.rabbitmq.password::::mall,mall,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-dev.yml,spring,spring.rabbitmq.password,mall,ConfigType.PASSWORD,mall-portal/src/main/resources/application-prod.yml,spring,FALSE,FALSE,,False,False,False,False,True,False,False,False
value-equality,mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_mall-security::::artifactId::::mall-security <-> mall::::mall-security/pom.xml::::project::::artifactId::::mall-security,mall,project.dependencies.dependency_mall-security.artifactId,mall-security,ConfigType.NAME,mall-portal/pom.xml,maven,project.artifactId,mall-security,ConfigType.NAME,mall-security/pom.xml,maven,TRUE,TRUE,,True,True,True,False,False,True,True,True
value-equality,mall::::mall-admin/src/main/resources/application-prod.yml::::spring.datasource.druid.stat-view-servlet.login-password::::druid <-> mall::::mall-admin/src/main/resources/application-prod.yml::::spring.datasource.druid.stat-view-servlet.login-username::::druid,mall,spring.datasource.druid.stat-view-servlet.login-password,druid,ConfigType.VERSION_NUMBER,mall-admin/src/main/resources/application-prod.yml,spring,spring.datasource.druid.stat-view-servlet.login-username,druid,ConfigType.VERSION_NUMBER,mall-admin/src/main/resources/application-prod.yml,spring,Borderline,Borderline,"if both modules share same database then true, else false",False,False,True,True,,True,True,False
value-equality,mall::::document/docker/docker-compose-env.yml::::services::::minio::::ports::::in::::9001 <-> mall::::document/docker/docker-compose-env.yml::::services::::minio::::ports::::out::::9001,mall,services.minio.ports.in,9001,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,services.minio.ports.out,9001,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,Borderline,FALSE,in and out port can be different,True,True,True,False,,True,True,True
value-equality,mall::::mall-search/src/main/resources/application-dev.yml::::spring.datasource.password::::root <-> mall::::mall-search/src/main/resources/application-dev.yml::::spring.datasource.username::::root,mall,spring.datasource.password,root,ConfigType.PASSWORD,mall-search/src/main/resources/application-dev.yml,spring,spring.datasource.username,root,ConfigType.USERNAME,mall-search/src/main/resources/application-dev.yml,spring,FALSE,FALSE,,False,False,False,False,,True,True,True
value-equality,mall::::mall-admin/pom.xml::::project::::parent_mall::::artifactId::::mall <-> mall::::mall-portal/pom.xml::::project::::parent_mall::::artifactId::::mall,mall,project.parent_mall.artifactId,mall,ConfigType.NAME,mall-admin/pom.xml,maven,project.parent_mall.artifactId,mall,ConfigType.NAME,mall-portal/pom.xml,maven,Borderline,TRUE,submodules have to specify artifatId of parent module,True,True,True,False,False,False,,False
value-equality,mall::::mall-admin/src/main/resources/application-prod.yml::::minio.bucketName::::mall <-> mall::::mall-common/pom.xml::::project::::parent_mall::::artifactId::::mall,mall,minio.bucketName,mall,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-prod.yml,spring,project.parent_mall.artifactId,mall,ConfigType.NAME,mall-common/pom.xml,maven,Borderline,FALSE,options do not depend on each other,False,False,False,False,False,False,False,False
value-equality,mall::::mall-admin/pom.xml::::project::::packaging::::jar <-> mall::::mall-security/pom.xml::::project::::packaging::::jar,mall,project.packaging,jar,ConfigType.TYPE,mall-admin/pom.xml,maven,project.packaging,jar,ConfigType.TYPE,mall-security/pom.xml,maven,FALSE,FALSE,,False,False,True,False,False,False,False,False
value-equality,mall::::document/docker/docker-compose-env.yml::::services::::elasticsearch::::ports::::in::::9200 <-> mall::::document/docker/docker-compose-env.yml::::services::::elasticsearch::::ports::::out::::9200,mall,services.elasticsearch.ports.in,9200,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,services.elasticsearch.ports.out,9200,ConfigType.PORT,document/docker/docker-compose-env.yml,docker-compose,FALSE,FALSE,,False,False,True,True,True,True,,True
value-equality,mall::::document/sh/Dockerfile::::ADD::::src::::mall-admin-1.0-SNAPSHOT.jar <-> mall::::document/sh/Dockerfile::::ENTRYPOINT::::param2::::mall-admin-1.0-SNAPSHOT.jar,mall,ADD.src,mall-admin-1.0-SNAPSHOT.jar,ConfigType.PATH,document/sh/Dockerfile,docker,ENTRYPOINT.param2,mall-admin-1.0-SNAPSHOT.jar,ConfigType.UNKNOWN,document/sh/Dockerfile,docker,TRUE,TRUE,,True,True,True,True,False,,,True
value-equality,mall::::mall-security/pom.xml::::project::::dependencies::::dependency_jjwt::::artifactId::::jjwt <-> mall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_jjwt::::artifactId::::jjwt,mall,project.dependencies.dependency_jjwt.artifactId,jjwt,ConfigType.NAME,mall-security/pom.xml,maven,project.dependencyManagement.dependencies.dependency_jjwt.artifactId,jjwt,ConfigType.NAME,pom.xml,maven,TRUE,TRUE,,True,True,True,True,,False,,True
value-equality,mall::::mall-common/pom.xml::::project::::parent_mall::::groupId::::com.macro.mall <-> mall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mall-mbg::::groupId::::com.macro.mall,mall,project.parent_mall.groupId,com.macro.mall,ConfigType.NAME,mall-common/pom.xml,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.groupId,com.macro.mall,ConfigType.NAME,pom.xml,maven,Borderline,TRUE,groupID of parent and sobmodules need to match,False,True,True,True,True,True,False,True
value-equality,mall::::mall-search/pom.xml::::project::::artifactId::::mall-search <-> mall::::pom.xml::::project::::modules::::module::::mall-search,mall,project.artifactId,mall-search,ConfigType.NAME,mall-search/pom.xml,maven,project.modules.module,mall-search,ConfigType.NAME,pom.xml,maven,TRUE,TRUE,,True,True,True,False,True,False,False,False
value-equality,mall::::mall-admin/pom.xml::::project::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg <-> mall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_mall-mbg::::artifactId::::mall-mbg,mall,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,mall-admin/pom.xml,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.artifactId,mall-mbg,ConfigType.NAME,pom.xml,maven,TRUE,TRUE,,True,True,True,True,True,False,True,True
value-equality,mall::::mall-demo/pom.xml::::project::::groupId::::com.macro.mall <-> mall::::mall-mbg/pom.xml::::project::::parent_mall::::groupId::::com.macro.mall,mall,project.groupId,com.macro.mall,ConfigType.NAME,mall-demo/pom.xml,maven,project.parent_mall.groupId,com.macro.mall,ConfigType.NAME,mall-mbg/pom.xml,maven,FALSE,FALSE,,True,False,True,True,,False,False,False
value-equality,mall::::mall-admin/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> mall::::mall-mbg/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,mall,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-admin/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,mall-mbg/pom.xml,maven,Borderline,TRUE,modelVersion 4.0.0 is the only version supported in Maven,True,False,True,True,False,True,True,True
value-equality,mall::::mall-admin/pom.xml::::project::::parent_mall::::version::::version:1.0-SNAPSHOT <-> mall::::mall-portal/pom.xml::::project::::version::::version:1.0-SNAPSHOT,mall,project.parent_mall.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-admin/pom.xml,maven,project.version,version:1.0-SNAPSHOT,ConfigType.VERSION_NUMBER,mall-portal/pom.xml,maven,Borderline,FALSE,different modules can have different version,False,False,True,False,,False,False,True
value-equality,mall::::document/docker/docker-compose-env.yml::::services::::logstash::::container_name::::logstash <-> mall::::mall-portal/src/main/resources/application-prod.yml::::logstash.host::::logstash,mall,services.logstash.container_name,logstash,ConfigType.NAME,document/docker/docker-compose-env.yml,docker-compose,logstash.host,logstash,ConfigType.URL,mall-portal/src/main/resources/application-prod.yml,spring,FALSE,FALSE,,True,False,True,False,,False,True,False
value-equality,mall::::mall-admin/src/main/resources/application-prod.yml::::spring.datasource.druid.min-idle::::10 <-> mall::::mall-search/src/main/resources/application-prod.yml::::spring.datasource.druid.min-idle::::10,mall,spring.datasource.druid.min-idle,10,ConfigType.VERSION_NUMBER,mall-admin/src/main/resources/application-prod.yml,spring,spring.datasource.druid.min-idle,10,ConfigType.VERSION_NUMBER,mall-search/src/main/resources/application-prod.yml,spring,Borderline,Borderline,"if both modules share same database then true, else false",False,False,True,True,,False,,False
value-equality,mall::::mall-admin/src/main/resources/application-dev.yml::::logging.level.root::::info <-> mall::::mall-portal/src/main/resources/application-prod.yml::::logging.level.root::::info,mall,logging.level.root,info,ConfigType.UNKNOWN,mall-admin/src/main/resources/application-dev.yml,spring,logging.level.root,info,ConfigType.UNKNOWN,mall-portal/src/main/resources/application-prod.yml,spring,FALSE,FALSE,,False,False,True,False,False,False,,False
value-equality,mall::::document/docker/docker-compose-app.yml::::services::::mall-portal::::container_name::::mall-portal <-> mall::::mall-portal/pom.xml::::project::::name::::mall-portal,mall,services.mall-portal.container_name,mall-portal,ConfigType.NAME,document/docker/docker-compose-app.yml,docker-compose,project.name,mall-portal,ConfigType.NAME,mall-portal/pom.xml,maven,FALSE,FALSE,,False,False,False,False,False,True,True,True
