dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rag-gpt-4o
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::parent_spring-boot-starter-parent::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.parent_spring-boot-starter-parent.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-server/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> music-website::::music-server/src/main/resources/application-prod.properties::::spring.datasource.username::::root,music-website,spring.datasource.username,root,ConfigType.USERNAME,music-server/src/main/resources/application-dev.properties,spring,spring.datasource.username,root,ConfigType.USERNAME,music-server/src/main/resources/application-prod.properties,spring,False
value-equality,music-website::::music-client/package.json::::devDependencies::::@vue/eslint-config-typescript::::@vue/eslint-config-typescript:^9.1.0 <-> music-website::::music-manage/package.json::::devDependencies::::@vue/eslint-config-typescript::::@vue/eslint-config-typescript:^9.1.0,music-website,devDependencies.@vue/eslint-config-typescript,@vue/eslint-config-typescript:^9.1.0,ConfigType.VERSION_NUMBER,music-client/package.json,nodejs,devDependencies.@vue/eslint-config-typescript,@vue/eslint-config-typescript:^9.1.0,ConfigType.VERSION_NUMBER,music-manage/package.json,nodejs,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::module::::esnext <-> music-website::::music-client/tsconfig.json::::compilerOptions::::target::::esnext,music-website,compilerOptions.module,esnext,ConfigType.UNKNOWN,music-client/tsconfig.json,tsconfig,compilerOptions.target,esnext,ConfigType.VERSION_NUMBER,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> music-website::::music-server/src/main/resources/application-prod.properties::::spring.datasource.username::::root,music-website,spring.datasource.username,root,ConfigType.USERNAME,music-server/src/main/resources/application-dev.properties,spring,spring.datasource.username,root,ConfigType.USERNAME,music-server/src/main/resources/application-prod.properties,spring,False
value-equality,music-website::::music-server/docker-server/docker-compose.yml::::services::::db::::environment::::MYSQL_ROOT_PASSWORD::::123456 <-> music-website::::music-server/src/main/resources/application-dev.properties::::spring.datasource.password::::123456,music-website,services.db.environment.MYSQL_ROOT_PASSWORD,123456,ConfigType.PASSWORD,music-server/docker-server/docker-compose.yml,docker-compose,spring.datasource.password,123456,ConfigType.PASSWORD,music-server/src/main/resources/application-dev.properties,spring,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-web::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-test.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-web.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-server/src/main/resources/application.yml::::mail.address::::None <-> music-website::::music-server/src/main/resources/application.yml::::spring.mail.password::::None,music-website,mail.address,,ConfigType.IP_ADDRESS,music-server/src/main/resources/application.yml,spring,spring.mail.password,,ConfigType.PASSWORD,music-server/src/main/resources/application.yml,spring,False
value-equality,music-website::::music-server/pom.xml::::project::::properties::::java.version::::1.8 <-> music-website::::music-server/pom.xml::::project::::properties::::maven.compiler.source::::1.8,music-website,project.properties.java.version,1.8,ConfigType.VERSION_NUMBER,music-server/pom.xml,maven,project.properties.maven.compiler.source,1.8,ConfigType.VERSION_NUMBER,music-server/pom.xml,maven,True
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::useDefineForClassFields::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::skipLibCheck::::True,music-website,compilerOptions.useDefineForClassFields,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.skipLibCheck,TRUE,ConfigType.IP_ADDRESS,music-manage/tsconfig.json,tsconfig,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::esModuleInterop::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::strict::::True,music-website,compilerOptions.esModuleInterop,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.strict,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-log4j::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-log4j.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-server/docker-server/docker-compose.yml::::services::::web::::ports::::out::::8888 <-> music-website::::music-server/src/main/resources/application.properties::::server.port::::8888,music-website,services.web.ports.out,8888,ConfigType.PORT,music-server/docker-server/docker-compose.yml,docker-compose,server.port,8888,ConfigType.PORT,music-server/src/main/resources/application.properties,spring,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::sourceMap::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::allowSyntheticDefaultImports::::True,music-website,compilerOptions.sourceMap,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.allowSyntheticDefaultImports,TRUE,ConfigType.BOOLEAN,music-manage/tsconfig.json,tsconfig,False
value-equality,music-website::::music-client/package.json::::devDependencies::::@vue/cli-plugin-babel::::@vue/cli-plugin-babel:~5.0.0 <-> music-website::::music-manage/package.json::::devDependencies::::@vue/cli-plugin-babel::::@vue/cli-plugin-babel:~5.0.0,music-website,devDependencies.@vue/cli-plugin-babel,@vue/cli-plugin-babel:~5.0.0,ConfigType.VERSION_NUMBER,music-client/package.json,nodejs,devDependencies.@vue/cli-plugin-babel,@vue/cli-plugin-babel:~5.0.0,ConfigType.VERSION_NUMBER,music-manage/package.json,nodejs,False
value-equality,music-website::::music-client/package.json::::dependencies::::core-js::::core-js:^3.8.3 <-> music-website::::music-manage/package.json::::dependencies::::core-js::::core-js:^3.8.3,music-website,dependencies.core-js,core-js:^3.8.3,ConfigType.VERSION_NUMBER,music-client/package.json,nodejs,dependencies.core-js,core-js:^3.8.3,ConfigType.VERSION_NUMBER,music-manage/package.json,nodejs,False
value-equality,music-website::::music-client/package.json::::devDependencies::::@vue/cli-plugin-router::::@vue/cli-plugin-router:~5.0.0 <-> music-website::::music-manage/package.json::::devDependencies::::@vue/cli-plugin-router::::@vue/cli-plugin-router:~5.0.0,music-website,devDependencies.@vue/cli-plugin-router,@vue/cli-plugin-router:~5.0.0,ConfigType.VERSION_NUMBER,music-client/package.json,nodejs,devDependencies.@vue/cli-plugin-router,@vue/cli-plugin-router:~5.0.0,ConfigType.VERSION_NUMBER,music-manage/package.json,nodejs,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::allowSyntheticDefaultImports::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::forceConsistentCasingInFileNames::::True,music-website,compilerOptions.allowSyntheticDefaultImports,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.forceConsistentCasingInFileNames,TRUE,ConfigType.PATH,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-manage/tsconfig.json::::compilerOptions::::allowSyntheticDefaultImports::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::forceConsistentCasingInFileNames::::True,music-website,compilerOptions.allowSyntheticDefaultImports,TRUE,ConfigType.BOOLEAN,music-manage/tsconfig.json,tsconfig,compilerOptions.forceConsistentCasingInFileNames,TRUE,ConfigType.PATH,music-manage/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-log4j::::groupId::::org.springframework.boot,music-website,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-log4j.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-mail::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-mail.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::sourceMap::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::useDefineForClassFields::::True,music-website,compilerOptions.sourceMap,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.useDefineForClassFields,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::module::::esnext <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::target::::esnext,music-website,compilerOptions.module,esnext,ConfigType.UNKNOWN,music-client/tsconfig.json,tsconfig,compilerOptions.target,esnext,ConfigType.VERSION_NUMBER,music-manage/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-devtools::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-mail::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-devtools.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-mail.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-server/pom.xml::::project::::repositories::::repository_nexus-aliyun::::snapshots::::enabled::::false <-> music-website::::music-server/src/main/resources/application.properties::::spring.devtools.restart.enabled::::false,music-website,project.repositories.repository_nexus-aliyun.snapshots.enabled,FALSE,ConfigType.BOOLEAN,music-server/pom.xml,maven,spring.devtools.restart.enabled,FALSE,ConfigType.BOOLEAN,music-server/src/main/resources/application.properties,spring,False
value-equality,music-website::::music-server/src/main/resources/application.yml::::mail.address::::None <-> music-website::::music-server/src/main/resources/application.yml::::spring.mail.password::::None,music-website,mail.address,,ConfigType.IP_ADDRESS,music-server/src/main/resources/application.yml,spring,spring.mail.password,,ConfigType.PASSWORD,music-server/src/main/resources/application.yml,spring,False
value-equality,music-website::::music-client/package.json::::devDependencies::::@vue/cli-plugin-typescript::::@vue/cli-plugin-typescript:~5.0.0 <-> music-website::::music-manage/package.json::::devDependencies::::@vue/cli-plugin-typescript::::@vue/cli-plugin-typescript:~5.0.0,music-website,devDependencies.@vue/cli-plugin-typescript,@vue/cli-plugin-typescript:~5.0.0,ConfigType.VERSION_NUMBER,music-client/package.json,nodejs,devDependencies.@vue/cli-plugin-typescript,@vue/cli-plugin-typescript:~5.0.0,ConfigType.VERSION_NUMBER,music-manage/package.json,nodejs,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-web::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::parent_spring-boot-starter-parent::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-web.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.parent_spring-boot-starter-parent.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::esModuleInterop::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::sourceMap::::True,music-website,compilerOptions.esModuleInterop,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.sourceMap,TRUE,ConfigType.BOOLEAN,music-manage/tsconfig.json,tsconfig,False
value-equality,music-website::::music-manage/package.json::::private::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::allowSyntheticDefaultImports::::True,music-website,private,TRUE,ConfigType.BOOLEAN,music-manage/package.json,nodejs,compilerOptions.allowSyntheticDefaultImports,TRUE,ConfigType.BOOLEAN,music-manage/tsconfig.json,tsconfig,False
value-equality,music-website::::music-client/package.json::::private::::True <-> music-website::::music-server/src/main/resources/application.yml::::spring.mail.properties.mail.smtp.auth::::True,music-website,private,TRUE,ConfigType.BOOLEAN,music-client/package.json,nodejs,spring.mail.properties.mail.smtp.auth,TRUE,ConfigType.BOOLEAN,music-server/src/main/resources/application.yml,spring,False
value-equality,music-website::::music-client/package.json::::devDependencies::::@typescript-eslint/eslint-plugin::::@typescript-eslint/eslint-plugin:^5.4.0 <-> music-website::::music-manage/package.json::::devDependencies::::@typescript-eslint/eslint-plugin::::@typescript-eslint/eslint-plugin:^5.4.0,music-website,devDependencies.@typescript-eslint/eslint-plugin,@typescript-eslint/eslint-plugin:^5.4.0,ConfigType.VERSION_NUMBER,music-client/package.json,nodejs,devDependencies.@typescript-eslint/eslint-plugin,@typescript-eslint/eslint-plugin:^5.4.0,ConfigType.VERSION_NUMBER,music-manage/package.json,nodejs,True
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-log4j::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-mail::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-log4j.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-mail.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-server/docker-server/docker-compose.yml::::services::::db::::environment::::MYSQL_PASSWORD::::123456 <-> music-website::::music-server/src/main/resources/application-prod.properties::::spring.datasource.password::::123456,music-website,services.db.environment.MYSQL_PASSWORD,123456,ConfigType.PASSWORD,music-server/docker-server/docker-compose.yml,docker-compose,spring.datasource.password,123456,ConfigType.PASSWORD,music-server/src/main/resources/application-prod.properties,spring,True
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::useDefineForClassFields::::True <-> music-website::::music-manage/package.json::::private::::True,music-website,compilerOptions.useDefineForClassFields,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,private,TRUE,ConfigType.BOOLEAN,music-manage/package.json,nodejs,False
value-equality,music-website::::music-client/package.json::::private::::True <-> music-website::::music-client/tsconfig.json::::compilerOptions::::forceConsistentCasingInFileNames::::True,music-website,private,TRUE,ConfigType.BOOLEAN,music-client/package.json,nodejs,compilerOptions.forceConsistentCasingInFileNames,TRUE,ConfigType.PATH,music-client/tsconfig.json,tsconfig,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-mail::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-starter-mail.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-test.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::esModuleInterop::::True <-> music-website::::music-server/src/main/resources/application.yml::::spring.mail.properties.mail.smtp.starttls.enable::::True,music-website,compilerOptions.esModuleInterop,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,spring.mail.properties.mail.smtp.starttls.enable,TRUE,ConfigType.BOOLEAN,music-server/src/main/resources/application.yml,spring,False
value-equality,music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-devtools::::groupId::::org.springframework.boot <-> music-website::::music-server/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-redis::::groupId::::org.springframework.boot,music-website,project.dependencies.dependency_spring-boot-devtools.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,ConfigType.NAME,music-server/pom.xml,maven,False
value-equality,music-website::::music-client/tsconfig.json::::compilerOptions::::useDefineForClassFields::::True <-> music-website::::music-manage/tsconfig.json::::compilerOptions::::esModuleInterop::::True,music-website,compilerOptions.useDefineForClassFields,TRUE,ConfigType.BOOLEAN,music-client/tsconfig.json,tsconfig,compilerOptions.esModuleInterop,TRUE,ConfigType.BOOLEAN,music-manage/tsconfig.json,tsconfig,False
