 ,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology,rating,final_rating,explanation,gpt-3.5-turbo_all,gpt-3.5-turbo_without,gpt-4o_all,gpt-4o_without
value-equality,litemall::::litemall-db/src/main/resources/application.yml::::logging.level.root::::ERROR <-> litemall::::litemall-wx-api/src/main/resources/application.yml::::logging.level.org.linlinjava.litemall::::ERROR,litemall,logging.level.root,ERROR,ConfigType.UNKNOWN,litemall-db/src/main/resources/application.yml,spring,logging.level.org.linlinjava.litemall,ERROR,ConfigType.UNKNOWN,litemall-wx-api/src/main/resources/application.yml,spring,FALSE,False,,True,False,False,False
value-equality,litemall::::litemall-wx-api/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::executions::::execution_repackage::::configuration::::executable::::true <-> litemall::::pom.xml::::project::::properties::::maven.test.skip::::true,litemall,project.build.plugins.plugin_spring-boot-maven-plugin.executions.execution_repackage.configuration.executable,TRUE,ConfigType.BOOLEAN,litemall-wx-api/pom.xml,maven,project.properties.maven.test.skip,TRUE,ConfigType.IP_ADDRESS,pom.xml,maven,FALSE,False,,False,False,False,False
value-equality,litemall::::litemall-core/pom.xml::::project::::dependencies::::dependency_weixin-java-pay::::artifactId::::weixin-java-pay <-> litemall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_weixin-java-pay::::artifactId::::weixin-java-pay,litemall,project.dependencies.dependency_weixin-java-pay.artifactId,weixin-java-pay,ConfigType.NAME,litemall-core/pom.xml,maven,project.dependencyManagement.dependencies.dependency_weixin-java-pay.artifactId,weixin-java-pay,ConfigType.NAME,pom.xml,maven,TRUE,True,,True,True,True,True
value-equality,litemall::::litemall-admin-api/pom.xml::::project::::properties::::project.build.sourceEncoding::::UTF-8 <-> litemall::::litemall-all-war/src/main/resources/application.yml::::spring.messages.encoding::::UTF-8,litemall,project.properties.project.build.sourceEncoding,UTF-8,ConfigType.VERSION_NUMBER,litemall-admin-api/pom.xml,maven,spring.messages.encoding,UTF-8,ConfigType.UNKNOWN,litemall-all-war/src/main/resources/application.yml,spring,Borderline,False,options does not depend on each other,True,True,False,False
value-equality,litemall::::litemall-admin-api/src/main/resources/application.yml::::spring.messages.encoding::::UTF-8 <-> litemall::::litemall-core/src/main/resources/application.yml::::spring.messages.encoding::::UTF-8,litemall,spring.messages.encoding,UTF-8,ConfigType.UNKNOWN,litemall-admin-api/src/main/resources/application.yml,spring,spring.messages.encoding,UTF-8,ConfigType.UNKNOWN,litemall-core/src/main/resources/application.yml,spring,Borderline,True,"if both mdoules share spring messages, encoding should be consistent",True,True,True,False
value-equality,litemall::::docker/docker-compose.yml::::services::::mysql57::::ports::::in::::3306 <-> litemall::::docker/docker-compose.yml::::services::::mysql57::::ports::::out::::3306,litemall,services.mysql57.ports.in,3306,ConfigType.PORT,docker/docker-compose.yml,docker-compose,services.mysql57.ports.out,3306,ConfigType.PORT,docker/docker-compose.yml,docker-compose,Borderline,True,ports have to match,True,True,False,False
value-equality,litemall::::litemall-core/pom.xml::::project::::dependencies::::dependency_weixin-java-miniapp::::groupId::::com.github.binarywang <-> litemall::::litemall-wx-api/pom.xml::::project::::dependencies::::dependency_weixin-java-pay::::exclusions::::exclusion_qrcode-utils::::groupId::::com.github.binarywang,litemall,project.dependencies.dependency_weixin-java-miniapp.groupId,com.github.binarywang,ConfigType.NAME,litemall-core/pom.xml,maven,project.dependencies.dependency_weixin-java-pay.exclusions.exclusion_qrcode-utils.groupId,com.github.binarywang,ConfigType.NAME,litemall-wx-api/pom.xml,maven,FALSE,False,,True,False,False,False
value-equality,litemall::::litemall-db/pom.xml::::project::::build::::plugins::::plugin_mybatis-generator-maven-plugin::::configuration::::overwrite::::true <-> litemall::::litemall-wx-api/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::executions::::execution_repackage::::configuration::::executable::::true,litemall,project.build.plugins.plugin_mybatis-generator-maven-plugin.configuration.overwrite,TRUE,ConfigType.BOOLEAN,litemall-db/pom.xml,maven,project.build.plugins.plugin_spring-boot-maven-plugin.executions.execution_repackage.configuration.executable,TRUE,ConfigType.BOOLEAN,litemall-wx-api/pom.xml,maven,FALSE,False,,False,False,False,False
value-equality,litemall::::litemall-core/pom.xml::::project::::parent_litemall::::version::::version:0.1.0 <-> litemall::::pom.xml::::project::::version::::version:0.1.0,litemall,project.parent_litemall.version,version:0.1.0,ConfigType.VERSION_NUMBER,litemall-core/pom.xml,maven,project.version,version:0.1.0,ConfigType.VERSION_NUMBER,pom.xml,maven,TRUE,True,,True,False,True,True
value-equality,litemall::::litemall-all-war/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources-vue::::goals::::goal_copy-resources::::copy-resources <-> litemall::::litemall-all-war/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::id::::copy-resources,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources-vue.goals.goal_copy-resources,copy-resources,ConfigType.VERSION_NUMBER,litemall-all-war/pom.xml,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,ConfigType.ID,litemall-all-war/pom.xml,maven,Borderline,False,not sure,False,True,True,False
value-equality,litemall::::litemall-core/src/main/resources/application.yml::::logging.level.org.mybatis::::ERROR <-> litemall::::litemall-core/src/main/resources/application.yml::::logging.level.root::::ERROR,litemall,logging.level.org.mybatis,ERROR,ConfigType.UNKNOWN,litemall-core/src/main/resources/application.yml,spring,logging.level.root,ERROR,ConfigType.UNKNOWN,litemall-core/src/main/resources/application.yml,spring,FALSE,False,,True,True,False,False
value-equality,litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::executions::::execution_repackage::::configuration::::executable::::true <-> litemall::::pom.xml::::project::::dependencies::::dependency_spring-boot-devtools::::optional::::true,litemall,project.build.plugins.plugin_spring-boot-maven-plugin.executions.execution_repackage.configuration.executable,TRUE,ConfigType.BOOLEAN,litemall-all/pom.xml,maven,project.dependencies.dependency_spring-boot-devtools.optional,TRUE,ConfigType.BOOLEAN,pom.xml,maven,FALSE,False,,False,False,False,False
value-equality,litemall::::litemall-core/src/main/resources/application.yml::::logging.level.org.springframework::::ERROR <-> litemall::::litemall-wx-api/src/main/resources/application.yml::::logging.level.root::::ERROR,litemall,logging.level.org.springframework,ERROR,ConfigType.UNKNOWN,litemall-core/src/main/resources/application.yml,spring,logging.level.root,ERROR,ConfigType.UNKNOWN,litemall-wx-api/src/main/resources/application.yml,spring,FALSE,False,,True,True,False,False
value-equality,litemall::::litemall-admin/package.json::::dependencies::::js-cookie::::js-cookie:2.2.0 <-> litemall::::litemall-vue/package.json::::dependencies::::js-cookie::::js-cookie:2.2.0,litemall,dependencies.js-cookie,js-cookie:2.2.0,ConfigType.VERSION_NUMBER,litemall-admin/package.json,nodejs,dependencies.js-cookie,js-cookie:2.2.0,ConfigType.VERSION_NUMBER,litemall-vue/package.json,nodejs,Borderline,True,"to avoid version inconsistencies across modules, version should be consistent",True,True,False,False
value-equality,litemall::::docker/docker-compose.yml::::services::::litemall::::container_name::::litemall <-> litemall::::litemall-core/pom.xml::::project::::parent_litemall::::artifactId::::litemall,litemall,services.litemall.container_name,litemall,ConfigType.NAME,docker/docker-compose.yml,docker-compose,project.parent_litemall.artifactId,litemall,ConfigType.NAME,litemall-core/pom.xml,maven,FALSE,False,,False,False,False,False
value-equality,litemall::::litemall-admin-api/pom.xml::::project::::dependencies::::dependency_litemall-db::::groupId::::org.linlinjava <-> litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-wx-api::::groupId::::org.linlinjava,litemall,project.dependencies.dependency_litemall-db.groupId,org.linlinjava,ConfigType.NAME,litemall-admin-api/pom.xml,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,ConfigType.NAME,litemall-all-war/pom.xml,maven,Borderline,True,,True,False,True,False
value-equality,litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-core::::groupId::::org.linlinjava <-> litemall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_litemall-all::::groupId::::org.linlinjava,litemall,project.dependencies.dependency_litemall-core.groupId,org.linlinjava,ConfigType.NAME,litemall-all-war/pom.xml,maven,project.dependencyManagement.dependencies.dependency_litemall-all.groupId,org.linlinjava,ConfigType.NAME,pom.xml,maven,Borderline,True,submodules live ander the same group id,True,True,True,False
value-equality,litemall::::docker/docker-compose.yml::::services::::litemall::::container_name::::litemall <-> litemall::::pom.xml::::project::::artifactId::::litemall,litemall,services.litemall.container_name,litemall,ConfigType.NAME,docker/docker-compose.yml,docker-compose,project.artifactId,litemall,ConfigType.NAME,pom.xml,maven,FALSE,False,,False,False,False,False
value-equality,litemall::::litemall-all-war/pom.xml::::project::::parent_litemall::::version::::version:0.1.0 <-> litemall::::litemall-wx-api/pom.xml::::project::::parent_litemall::::version::::version:0.1.0,litemall,project.parent_litemall.version,version:0.1.0,ConfigType.VERSION_NUMBER,litemall-all-war/pom.xml,maven,project.parent_litemall.version,version:0.1.0,ConfigType.VERSION_NUMBER,litemall-wx-api/pom.xml,maven,TRUE,True,,True,True,True,True
value-equality,litemall::::litemall-core/pom.xml::::project::::packaging::::jar <-> litemall::::litemall-wx-api/pom.xml::::project::::packaging::::jar,litemall,project.packaging,jar,ConfigType.TYPE,litemall-core/pom.xml,maven,project.packaging,jar,ConfigType.TYPE,litemall-wx-api/pom.xml,maven,FALSE,False,,True,True,False,False
value-equality,litemall::::litemall-core/pom.xml::::project::::dependencies::::dependency_weixin-java-miniapp::::groupId::::com.github.binarywang <-> litemall::::litemall-wx-api/pom.xml::::project::::dependencies::::dependency_weixin-java-miniapp::::groupId::::com.github.binarywang,litemall,project.dependencies.dependency_weixin-java-miniapp.groupId,com.github.binarywang,ConfigType.NAME,litemall-core/pom.xml,maven,project.dependencies.dependency_weixin-java-miniapp.groupId,com.github.binarywang,ConfigType.NAME,litemall-wx-api/pom.xml,maven,Borderline,True,same dependency in different modules lives under same groupId,True,True,True,True
value-equality,litemall::::litemall-admin-api/pom.xml::::project::::dependencies::::dependency_litemall-core::::groupId::::org.linlinjava <-> litemall::::pom.xml::::project::::groupId::::org.linlinjava,litemall,project.dependencies.dependency_litemall-core.groupId,org.linlinjava,ConfigType.NAME,litemall-admin-api/pom.xml,maven,project.groupId,org.linlinjava,ConfigType.NAME,pom.xml,maven,Borderline,True,submodules live under groupId specified in parent module,True,True,True,True
value-equality,litemall::::litemall-db/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-json::::groupId::::org.springframework.boot <-> litemall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_spring-boot-starter-json::::groupId::::org.springframework.boot,litemall,project.dependencies.dependency_spring-boot-starter-json.groupId,org.springframework.boot,ConfigType.NAME,litemall-db/pom.xml,maven,project.dependencyManagement.dependencies.dependency_spring-boot-starter-json.groupId,org.springframework.boot,ConfigType.NAME,pom.xml,maven,Borderline,True,same dependency in different modules lives under same groupId,True,True,True,True
value-equality,litemall::::litemall-wx-api/pom.xml::::project::::parent_litemall::::version::::version:0.1.0 <-> litemall::::pom.xml::::project::::version::::version:0.1.0,litemall,project.parent_litemall.version,version:0.1.0,ConfigType.VERSION_NUMBER,litemall-wx-api/pom.xml,maven,project.version,version:0.1.0,ConfigType.VERSION_NUMBER,pom.xml,maven,TRUE,True,,False,True,True,True
value-equality,litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::goals::::goal_copy-resources::::copy-resources <-> litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::id::::copy-resources,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.goals.goal_copy-resources,copy-resources,ConfigType.VERSION_NUMBER,litemall-all/pom.xml,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,ConfigType.ID,litemall-all/pom.xml,maven,Borderline,False,not sure,True,True,False,False
value-equality,litemall::::litemall-admin-api/pom.xml::::project::::dependencies::::dependency_springfox-swagger-ui::::groupId::::io.springfox <-> litemall::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_springfox-swagger2::::groupId::::io.springfox,litemall,project.dependencies.dependency_springfox-swagger-ui.groupId,io.springfox,ConfigType.NAME,litemall-admin-api/pom.xml,maven,project.dependencyManagement.dependencies.dependency_springfox-swagger2.groupId,io.springfox,ConfigType.NAME,pom.xml,maven,FALSE,False,,True,True,True,True
value-equality,litemall::::litemall-all-war/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::configuration::::resources::::resource::::directory::::../litemall-admin/dist <-> litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::configuration::::resources::::resource::::directory::::../litemall-admin/dist,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.configuration.resources.resource.directory,../litemall-admin/dist,ConfigType.PATH,litemall-all-war/pom.xml,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.configuration.resources.resource.directory,../litemall-admin/dist,ConfigType.PATH,litemall-all/pom.xml,maven,Borderline,True,same options in different modules specify same relative path,True,True,True,True
value-equality,litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-admin-api::::groupId::::org.linlinjava <-> litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-db::::groupId::::org.linlinjava,litemall,project.dependencies.dependency_litemall-admin-api.groupId,org.linlinjava,ConfigType.NAME,litemall-all-war/pom.xml,maven,project.dependencies.dependency_litemall-db.groupId,org.linlinjava,ConfigType.NAME,litemall-all-war/pom.xml,maven,Borderline,True,submodules live under the same groupId (specified in parent module),True,False,True,False
value-equality,litemall::::litemall-all/pom.xml::::project::::parent_litemall::::groupId::::org.linlinjava <-> litemall::::litemall-db/pom.xml::::project::::parent_litemall::::groupId::::org.linlinjava,litemall,project.parent_litemall.groupId,org.linlinjava,ConfigType.NAME,litemall-all/pom.xml,maven,project.parent_litemall.groupId,org.linlinjava,ConfigType.NAME,litemall-db/pom.xml,maven,Borderline,True,,True,False,True,True
value-equality,litemall::::litemall-all/pom.xml::::project::::packaging::::jar <-> litemall::::litemall-core/pom.xml::::project::::packaging::::jar,litemall,project.packaging,jar,ConfigType.TYPE,litemall-all/pom.xml,maven,project.packaging,jar,ConfigType.TYPE,litemall-core/pom.xml,maven,FALSE,False,,False,True,False,False
value-equality,litemall::::pom.xml::::project::::dependencies::::dependency_mockito-core::::scope::::test <-> litemall::::pom.xml::::project::::dependencies::::dependency_powermock-api-mockito::::scope::::test,litemall,project.dependencies.dependency_mockito-core.scope,test,ConfigType.UNKNOWN,pom.xml,maven,project.dependencies.dependency_powermock-api-mockito.scope,test,ConfigType.UNKNOWN,pom.xml,maven,FALSE,False,,True,True,False,False
value-equality,litemall::::docker/docker-compose.yml::::services::::litemall::::ports::::in::::8080 <-> litemall::::docker/docker-compose.yml::::services::::litemall::::ports::::out::::8080,litemall,services.litemall.ports.in,8080,ConfigType.PORT,docker/docker-compose.yml,docker-compose,services.litemall.ports.out,8080,ConfigType.PORT,docker/docker-compose.yml,docker-compose,Borderline,True,ports have to match,True,True,True,False
value-equality,litemall::::litemall-all-war/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> litemall::::litemall-wx-api/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,litemall,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,litemall-all-war/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,litemall-wx-api/pom.xml,maven,Borderline,True,modelVersion 4.0.0 is the only version supported by Maven,False,True,False,True
value-equality,litemall::::litemall-all-war/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::id::::copy-resources <-> litemall::::litemall-all/pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::id::::copy-resources,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,ConfigType.ID,litemall-all-war/pom.xml,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,ConfigType.ID,litemall-all/pom.xml,maven,Borderline,False,not sure,True,True,False,False
value-equality,litemall::::litemall-all/pom.xml::::project::::artifactId::::litemall-all <-> litemall::::pom.xml::::project::::modules::::module::::litemall-all,litemall,project.artifactId,litemall-all,ConfigType.NAME,litemall-all/pom.xml,maven,project.modules.module,litemall-all,ConfigType.NAME,pom.xml,maven,TRUE,True,,True,True,True,True
value-equality,litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-core::::groupId::::org.linlinjava <-> litemall::::litemall-all/pom.xml::::project::::dependencies::::dependency_litemall-core::::groupId::::org.linlinjava,litemall,project.dependencies.dependency_litemall-core.groupId,org.linlinjava,ConfigType.NAME,litemall-all-war/pom.xml,maven,project.dependencies.dependency_litemall-core.groupId,org.linlinjava,ConfigType.NAME,litemall-all/pom.xml,maven,Borderline,True,submodules live under the same groupId (specified in parent module),True,False,True,True
value-equality,litemall::::litemall-admin-api/pom.xml::::project::::parent_litemall::::artifactId::::litemall <-> litemall::::litemall-all/pom.xml::::project::::parent_litemall::::artifactId::::litemall,litemall,project.parent_litemall.artifactId,litemall,ConfigType.NAME,litemall-admin-api/pom.xml,maven,project.parent_litemall.artifactId,litemall,ConfigType.NAME,litemall-all/pom.xml,maven,TRUE,True,,True,True,True,True
value-equality,litemall::::litemall-vue/package.json::::scripts::::dev::::vue-cli-service serve <-> litemall::::litemall-vue/package.json::::scripts::::serve::::vue-cli-service serve,litemall,scripts.dev,vue-cli-service serve,ConfigType.COMMAND,litemall-vue/package.json,nodejs,scripts.serve,vue-cli-service serve,ConfigType.COMMAND,litemall-vue/package.json,nodejs,Borderline,False,different scripts in same module can use different commands,False,True,False,True
value-equality,litemall::::docker/docker-compose.yml::::services::::litemall::::container_name::::litemall <-> litemall::::litemall-all-war/pom.xml::::project::::build::::finalName::::litemall,litemall,services.litemall.container_name,litemall,ConfigType.NAME,docker/docker-compose.yml,docker-compose,project.build.finalName,litemall,ConfigType.NAME,litemall-all-war/pom.xml,maven,FALSE,False,,True,False,False,False
value-equality,litemall::::litemall-all-war/pom.xml::::project::::dependencies::::dependency_litemall-core::::artifactId::::litemall-core <-> litemall::::pom.xml::::project::::modules::::module::::litemall-core,litemall,project.dependencies.dependency_litemall-core.artifactId,litemall-core,ConfigType.NAME,litemall-all-war/pom.xml,maven,project.modules.module,litemall-core,ConfigType.NAME,pom.xml,maven,Borderline,True,artifactID of a modules is specified as module in parent pom,True,True,True,True
