index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
33,False,TN,TN,FP,FP,apollo,project.parent_apollo.groupId,apollo-buildtools/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-common.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
35,False,TN,TN,FP,TN,apollo,project.build.pluginManagement.plugins.plugin_findbugs-maven-plugin.groupId,pom.xml,org.codehaus.mojo,NAME,maven,project.build.plugins.plugin_flatten-maven-plugin.groupId,org.codehaus.mojo,pom.xml,NAME,maven,1
38,False,TN,TN,FP,TN,apollo,project.profiles.profile_sql-converter.build.plugins.plugin_exec-maven-plugin.groupId,apollo-build-sql-converter/pom.xml,org.codehaus.mojo,NAME,maven,project.build.pluginManagement.plugins.plugin_cobertura-maven-plugin.groupId,org.codehaus.mojo,pom.xml,NAME,maven,1
39,True,FN,TP,TP,TP,apollo,project.version,apollo-audit/apollo-audit-impl/pom.xml,version:${revision},VERSION_NUMBER,maven,project.parent_apollo-audit.version,version:${revision},apollo-audit/apollo-audit-spring-boot-starter/pom.xml,VERSION_NUMBER,maven,1
42,True,TP,TP,TP,FN,apollo,project.artifactId,apollo-audit/apollo-audit-annotation/pom.xml,apollo-audit-annotation,NAME,maven,project.modules.module,apollo-audit-annotation,apollo-audit/pom.xml,NAME,maven,1
43,False,TN,FP,FP,TN,apollo,project.parent_apollo.groupId,apollo-audit/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-biz.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
46,False,FP,TN,FP,TN,apollo,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,apollo-assembly/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-actuator.groupId,org.springframework.boot,apollo-common/pom.xml,NAME,maven,2
48,False,FP,TN,FP,TN,apollo,project.dependencies.dependency_apollo-audit-spring-boot-starter.groupId,apollo-biz/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-adminservice.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
49,False,TN,TN,FP,FP,apollo,project.dependencies.dependency_spring-boot-starter-actuator.groupId,apollo-common/pom.xml,org.springframework.boot,NAME,maven,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,apollo-portal/pom.xml,NAME,maven,2
54,False,TN,TN,FP,TN,jetlinks-community,project.dependencies.dependency_protocol-component.groupId,jetlinks-manager/network-manager/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_tdengine-component.groupId,org.jetlinks.community,jetlinks-standalone/pom.xml,NAME,maven,1
55,True,FN,FN,TP,TP,jetlinks-community,project.modelVersion,jetlinks-manager/authentication-manager/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-manager/pom.xml,VERSION_NUMBER,maven,2
56,False,TN,FP,TN,TN,jetlinks-community,project.parent_notify-component.relativePath,jetlinks-components/notify-component/notify-dingtalk/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/protocol-component/pom.xml,PATH,maven,1
57,True,FN,TP,FN,FN,jetlinks-community,project.artifactId,jetlinks-components/pom.xml,jetlinks-components,NAME,maven,project.parent_jetlinks-components.artifactId,jetlinks-components,jetlinks-components/relation-component/pom.xml,NAME,maven,3
58,True,FN,FN,FN,TP,jetlinks-community,services.elasticsearch.ports.in,docker/dev-env/docker-compose.yml,9300,PORT,docker-compose,services.elasticsearch.ports.out,9300,docker/dev-env/docker-compose.yml,PORT,docker-compose,3
59,True,TP,TP,TP,FN,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,jetlinks-components/network-component/mqtt-component/pom.xml,org.jetlinks,NAME,maven,project.dependencies.dependency_jetlinks-core.groupId,org.jetlinks,jetlinks-manager/notify-manager/pom.xml,NAME,maven,1
60,True,TP,FN,TP,TP,jetlinks-community,project.dependencies.dependency_logback-classic.groupId,jetlinks-components/logging-component/pom.xml,ch.qos.logback,NAME,maven,project.dependencies.dependency_logback-classic.groupId,ch.qos.logback,pom.xml,NAME,maven,1
61,True,TP,TP,TP,FN,jetlinks-community,project.artifactId,jetlinks-components/elasticsearch-component/pom.xml,elasticsearch-component,NAME,maven,project.dependencies.dependency_elasticsearch-component.artifactId,elasticsearch-component,jetlinks-manager/device-manager/pom.xml,NAME,maven,1
64,False,TN,TN,FP,TN,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,jetlinks-components/configure-component/pom.xml,org.jetlinks.community,NAME,maven,project.parent_notify-component.groupId,org.jetlinks.community,jetlinks-components/notify-component/notify-email/pom.xml,NAME,maven,1
65,True,TP,FN,TP,TP,jetlinks-community,project.dependencies.dependency_tcp-component.groupId,jetlinks-manager/network-manager/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_authentication-manager.groupId,${project.groupId},jetlinks-standalone/pom.xml,NAME,maven,1
66,False,FP,FP,FP,FP,jetlinks-community,project.dependencies.dependency_gateway-component.version,jetlinks-components/network-component/mqtt-component/pom.xml,gateway-component:${project.version},VERSION_NUMBER,maven,project.dependencies.dependency_gateway-component.version,gateway-component:${project.version},jetlinks-standalone/pom.xml,VERSION_NUMBER,maven,4
67,True,FN,FN,TP,FN,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/relation-component/pom.xml,VERSION_NUMBER,maven,3
68,True,FN,TP,TP,TP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/elasticsearch-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/notify-component/pom.xml,PATH,maven,1
69,False,FP,FP,TN,FP,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,jetlinks-components/dashboard-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_common-component.groupId,${project.groupId},jetlinks-components/rule-engine-component/pom.xml,NAME,maven,3
70,True,TP,TP,TP,FN,jetlinks-community,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-manager/notify-manager/pom.xml,jetlinks-supports,NAME,maven,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-supports,jetlinks-standalone/pom.xml,NAME,maven,1
73,False,FP,TN,FP,FP,jetlinks-community,project.dependencies.dependency_vertx-core.groupId,jetlinks-components/network-component/mqtt-component/pom.xml,io.vertx,NAME,maven,project.dependencies.dependency_vertx-mqtt.groupId,io.vertx,jetlinks-components/network-component/mqtt-component/pom.xml,NAME,maven,3
74,True,TP,FN,TP,TP,jetlinks-community,project.modelVersion,jetlinks-components/configure-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/notify-component/notify-voice/pom.xml,VERSION_NUMBER,maven,1
75,True,FN,FN,FN,FN,jetlinks-community,project.parent_jetlinks-manager.artifactId,jetlinks-manager/authentication-manager/pom.xml,jetlinks-manager,NAME,maven,project.modules.module,jetlinks-manager,pom.xml,NAME,maven,4
76,False,FP,FP,FP,FP,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,jetlinks-components/logging-component/pom.xml,org.jetlinks.community,NAME,maven,project.groupId,org.jetlinks.community,pom.xml,NAME,maven,4
77,False,TN,TN,FP,TN,jetlinks-community,project.dependencies.dependency_cron-utils.scope,jetlinks-components/common-component/pom.xml,compile,UNKNOWN,maven,project.build.plugins.plugin_gmavenplus-plugin.executions.execution.goals.goal_compile,compile,pom.xml,UNKNOWN,maven,1
78,False,TN,FP,FP,TN,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/network-component/pom.xml,../pom.xml,PATH,maven,project.parent_network-component.relativePath,../pom.xml,jetlinks-components/network-component/tcp-component/pom.xml,PATH,maven,2
79,False,TN,TN,FP,TN,jetlinks-community,project.dependencies.dependency_script-component.groupId,jetlinks-manager/device-manager/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,jetlinks-manager/network-manager/pom.xml,NAME,maven,1
80,False,FP,TN,FP,FP,jetlinks-community,project.parent_jetlinks-components.version,jetlinks-components/gateway-component/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_notify-component.version,version:2.2.0-SNAPSHOT,jetlinks-components/notify-component/notify-email/pom.xml,VERSION_NUMBER,maven,3
81,True,TP,FN,TP,TP,jetlinks-community,project.dependencies.dependency_notify-core.groupId,jetlinks-components/notify-component/notify-voice/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_rule-engine-component.groupId,${project.groupId},jetlinks-manager/rule-engine-manager/pom.xml,NAME,maven,1
82,False,FP,TN,FP,TN,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,jetlinks-components/gateway-component/pom.xml,org.jetlinks,NAME,maven,project.dependencies.dependency_reactor-ql.groupId,org.jetlinks,jetlinks-components/relation-component/pom.xml,NAME,maven,2
83,True,FN,TP,TP,TP,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,jetlinks-components/rule-engine-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_io-component.groupId,${project.groupId},jetlinks-manager/device-manager/pom.xml,NAME,maven,1
85,False,FP,TN,FP,TN,jetlinks-community,project.dependencies.dependency_hsweb-commons-crud.groupId,jetlinks-components/elasticsearch-component/pom.xml,org.hswebframework.web,NAME,maven,project.dependencies.dependency_hsweb-starter.groupId,org.hswebframework.web,jetlinks-manager/authentication-manager/pom.xml,NAME,maven,2
86,True,FN,FN,TP,FN,jetlinks-community,project.modelVersion,jetlinks-components/common-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/network-component/mqtt-component/pom.xml,VERSION_NUMBER,maven,3
87,False,FP,TN,FP,FP,jetlinks-community,project.parent_notify-component.version,jetlinks-components/notify-component/notify-voice/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,jetlinks-manager/notify-manager/pom.xml,VERSION_NUMBER,maven,3
89,True,TP,FN,FN,FN,jetlinks-community,project.modelVersion,jetlinks-components/notify-component/notify-sms/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/rule-engine-component/pom.xml,VERSION_NUMBER,maven,3
90,False,TN,FP,TN,TN,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/elasticsearch-component/pom.xml,../pom.xml,PATH,maven,project.parent_network-component.relativePath,../pom.xml,jetlinks-components/network-component/network-core/pom.xml,PATH,maven,1
92,False,FP,TN,TN,TN,jetlinks-community,project.parent_jetlinks-components.groupId,jetlinks-components/timeseries-component/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,jetlinks-manager/network-manager/pom.xml,NAME,maven,1
94,True,FN,TP,FN,TP,jetlinks-community,project.parent_jetlinks-manager.version,jetlinks-manager/device-manager/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,jetlinks-manager/network-manager/pom.xml,VERSION_NUMBER,maven,2
95,False,TN,TN,FP,FP,jetlinks-community,project.parent_jetlinks-components.groupId,jetlinks-components/script-component/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_common-component.groupId,org.jetlinks.community,jetlinks-components/things-component/pom.xml,NAME,maven,2
97,False,TN,TN,FP,FP,jetlinks-community,project.dependencies.dependency_relation-component.groupId,jetlinks-components/notify-component/notify-core/pom.xml,org.jetlinks.community,NAME,maven,project.parent_jetlinks-manager.groupId,org.jetlinks.community,jetlinks-manager/logging-manager/pom.xml,NAME,maven,2
98,True,TP,FN,TP,FN,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/timeseries-component/pom.xml,VERSION_NUMBER,maven,2
99,True,TP,FN,TP,TP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/dashboard-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/protocol-component/pom.xml,PATH,maven,1
100,False,TN,TN,TN,FP,litemall,logging.level.org.linlinjava.litemall,litemall-admin-api/src/main/resources/application.yml,ERROR,UNKNOWN,spring,logging.level.org.linlinjava.litemall,ERROR,litemall-wx-api/src/main/resources/application.yml,UNKNOWN,spring,1
101,True,TP,TP,FN,TP,litemall,COPY.src,docker/litemall/Dockerfile,litemall.jar,PATH,docker,ENTRYPOINT.param3,litemall.jar,docker/litemall/Dockerfile,PATH,docker,1
102,True,FN,FN,TP,TP,litemall,project.dependencies.dependency_litemall-admin-api.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.groupId,org.linlinjava,pom.xml,NAME,maven,2
105,True,FN,TP,TP,FN,litemall,project.dependencies.dependency_litemall-db.artifactId,litemall-admin-api/pom.xml,litemall-db,NAME,maven,project.artifactId,litemall-db,litemall-db/pom.xml,NAME,maven,2
106,True,TP,FN,TP,FN,litemall,project.dependencies.dependency_weixin-java-miniapp.artifactId,litemall-core/pom.xml,weixin-java-miniapp,NAME,maven,project.dependencies.dependency_weixin-java-miniapp.artifactId,weixin-java-miniapp,litemall-wx-api/pom.xml,NAME,maven,2
107,False,FP,TN,FP,FP,litemall,project.dependencies.dependency_litemall-db.groupId,litemall-admin-api/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,3
108,False,TN,TN,FP,TN,litemall,project.build.plugins.plugin_spring-boot-maven-plugin.executions.execution_repackage.configuration.executable,litemall-all/pom.xml,TRUE,BOOLEAN,maven,project.build.plugins.plugin_mybatis-generator-maven-plugin.configuration.overwrite,TRUE,litemall-db/pom.xml,BOOLEAN,maven,1
112,True,TP,FN,FN,TP,litemall,project.dependencies.dependency_weixin-java-pay.artifactId,litemall-core/pom.xml,weixin-java-pay,NAME,maven,project.dependencyManagement.dependencies.dependency_weixin-java-pay.artifactId,weixin-java-pay,pom.xml,NAME,maven,2
114,True,TP,FN,TP,TP,litemall,spring.messages.encoding,litemall-admin-api/src/main/resources/application.yml,UTF-8,UNKNOWN,spring,spring.messages.encoding,UTF-8,litemall-core/src/main/resources/application.yml,UNKNOWN,spring,1
115,True,FN,FN,TP,FN,litemall,services.mysql57.ports.in,docker/docker-compose.yml,3306,PORT,docker-compose,services.mysql57.ports.out,3306,docker/docker-compose.yml,PORT,docker-compose,3
116,False,TN,TN,FP,TN,litemall,project.dependencies.dependency_weixin-java-miniapp.groupId,litemall-core/pom.xml,com.github.binarywang,NAME,maven,project.dependencies.dependency_weixin-java-pay.exclusions.exclusion_qrcode-utils.groupId,com.github.binarywang,litemall-wx-api/pom.xml,NAME,maven,1
118,True,FN,TP,TP,TP,litemall,project.parent_litemall.version,litemall-core/pom.xml,version:0.1.0,VERSION_NUMBER,maven,project.version,version:0.1.0,pom.xml,VERSION_NUMBER,maven,1
120,False,FP,TN,TN,TN,litemall,logging.level.org.mybatis,litemall-core/src/main/resources/application.yml,ERROR,UNKNOWN,spring,logging.level.root,ERROR,litemall-core/src/main/resources/application.yml,UNKNOWN,spring,1
122,False,FP,TN,TN,TN,litemall,logging.level.org.springframework,litemall-core/src/main/resources/application.yml,ERROR,UNKNOWN,spring,logging.level.root,ERROR,litemall-wx-api/src/main/resources/application.yml,UNKNOWN,spring,1
123,True,TP,FN,FN,TP,litemall,dependencies.js-cookie,litemall-admin/package.json,js-cookie:2.2.0,VERSION_NUMBER,nodejs,dependencies.js-cookie,js-cookie:2.2.0,litemall-vue/package.json,VERSION_NUMBER,nodejs,2
124,False,TN,TN,FP,TN,litemall,services.litemall.container_name,docker/docker-compose.yml,litemall,NAME,docker-compose,project.parent_litemall.artifactId,litemall,litemall-core/pom.xml,NAME,maven,1
125,True,TP,FN,TP,TP,litemall,project.dependencies.dependency_litemall-db.groupId,litemall-admin-api/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,1
126,True,TP,TP,TP,FN,litemall,project.dependencies.dependency_litemall-core.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.dependencyManagement.dependencies.dependency_litemall-all.groupId,org.linlinjava,pom.xml,NAME,maven,1
128,True,FN,TP,TP,TP,litemall,project.parent_litemall.version,litemall-all-war/pom.xml,version:0.1.0,VERSION_NUMBER,maven,project.parent_litemall.version,version:0.1.0,litemall-wx-api/pom.xml,VERSION_NUMBER,maven,1
129,False,FP,TN,FP,TN,litemall,project.packaging,litemall-core/pom.xml,jar,TYPE,maven,project.packaging,jar,litemall-wx-api/pom.xml,TYPE,maven,2
130,True,TP,TP,TP,FN,litemall,project.dependencies.dependency_weixin-java-miniapp.groupId,litemall-core/pom.xml,com.github.binarywang,NAME,maven,project.dependencies.dependency_weixin-java-miniapp.groupId,com.github.binarywang,litemall-wx-api/pom.xml,NAME,maven,1
132,True,TP,TP,TP,FN,litemall,project.dependencies.dependency_spring-boot-starter-json.groupId,litemall-db/pom.xml,org.springframework.boot,NAME,maven,project.dependencyManagement.dependencies.dependency_spring-boot-starter-json.groupId,org.springframework.boot,pom.xml,NAME,maven,1
134,False,FP,TN,FP,TN,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.goals.goal_copy-resources,litemall-all/pom.xml,copy-resources,VERSION_NUMBER,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,litemall-all/pom.xml,ID,maven,2
135,False,FP,TN,FP,TN,litemall,project.dependencies.dependency_springfox-swagger-ui.groupId,litemall-admin-api/pom.xml,io.springfox,NAME,maven,project.dependencyManagement.dependencies.dependency_springfox-swagger2.groupId,io.springfox,pom.xml,NAME,maven,2
137,True,TP,FN,TP,TP,litemall,project.dependencies.dependency_litemall-admin-api.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-db.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,1
138,True,TP,TP,TP,FN,litemall,project.parent_litemall.groupId,litemall-all/pom.xml,org.linlinjava,NAME,maven,project.parent_litemall.groupId,org.linlinjava,litemall-db/pom.xml,NAME,maven,1
139,False,FP,TN,FP,TN,litemall,project.packaging,litemall-all/pom.xml,jar,TYPE,maven,project.packaging,jar,litemall-core/pom.xml,TYPE,maven,2
140,False,TN,TN,FP,TN,litemall,project.dependencies.dependency_mockito-core.scope,pom.xml,test,UNKNOWN,maven,project.dependencies.dependency_powermock-api-mockito.scope,test,pom.xml,UNKNOWN,maven,1
141,True,TP,FN,TP,TP,litemall,services.litemall.ports.in,docker/docker-compose.yml,8080,PORT,docker-compose,services.litemall.ports.out,8080,docker/docker-compose.yml,PORT,docker-compose,1
142,True,TP,FN,TP,TP,litemall,project.modelVersion,litemall-all-war/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,litemall-wx-api/pom.xml,VERSION_NUMBER,maven,1
143,False,FP,TN,FP,TN,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,litemall-all-war/pom.xml,copy-resources,ID,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,litemall-all/pom.xml,ID,maven,2
144,True,TP,FN,TP,FN,litemall,project.artifactId,litemall-all/pom.xml,litemall-all,NAME,maven,project.modules.module,litemall-all,pom.xml,NAME,maven,2
145,True,TP,TP,TP,FN,litemall,project.dependencies.dependency_litemall-core.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-core.groupId,org.linlinjava,litemall-all/pom.xml,NAME,maven,1
146,True,TP,TP,TP,FN,litemall,project.parent_litemall.artifactId,litemall-admin-api/pom.xml,litemall,NAME,maven,project.parent_litemall.artifactId,litemall,litemall-all/pom.xml,NAME,maven,1
147,False,FP,TN,TN,TN,litemall,scripts.dev,litemall-vue/package.json,vue-cli-service serve,COMMAND,nodejs,scripts.serve,vue-cli-service serve,litemall-vue/package.json,COMMAND,nodejs,1
149,True,FN,TP,TP,FN,litemall,project.dependencies.dependency_litemall-core.artifactId,litemall-all-war/pom.xml,litemall-core,NAME,maven,project.modules.module,litemall-core,pom.xml,NAME,maven,2
150,True,TP,TP,FN,FN,mall-swarm,project.groupId,mall-common/pom.xml,com.macro.mall,NAME,maven,project.parent_mall-swarm.groupId,com.macro.mall,mall-portal/pom.xml,NAME,maven,2
151,True,FN,FN,TP,TP,mall-swarm,project.modelVersion,mall-common/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-portal/pom.xml,VERSION_NUMBER,maven,2
152,True,FN,FN,FN,TP,mall-swarm,project.parent_mall-swarm.groupId,mall-demo/pom.xml,com.macro.mall,NAME,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.groupId,com.macro.mall,pom.xml,NAME,maven,3
154,False,FP,TN,FP,FP,mall-swarm,project.parent_mall-swarm.version,mall-gateway/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-mbg/pom.xml,VERSION_NUMBER,maven,3
157,True,TP,FN,TP,TP,mall-swarm,project.dependencies.dependency_mall-common.groupId,mall-gateway/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,1
158,True,FN,TP,FN,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-mbg/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-portal/pom.xml,NAME,maven,3
160,True,TP,TP,TP,FN,mall-swarm,project.parent_mall-swarm.artifactId,mall-auth/pom.xml,mall-swarm,NAME,maven,project.parent_mall-swarm.artifactId,mall-swarm,mall-monitor/pom.xml,NAME,maven,1
161,True,FN,TP,FN,FN,mall-swarm,project.parent_mall-swarm.artifactId,mall-admin/pom.xml,mall-swarm,NAME,maven,project.parent_mall-swarm.artifactId,mall-swarm,mall-demo/pom.xml,NAME,maven,3
162,False,FP,TN,TN,FP,mall-swarm,project.parent_mall-swarm.version,mall-auth/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-monitor/pom.xml,VERSION_NUMBER,maven,2
163,True,FN,TP,FN,FN,mall-swarm,project.artifactId,mall-portal/pom.xml,mall-portal,NAME,maven,project.modules.module,mall-portal,pom.xml,NAME,maven,3
164,True,FN,TP,TP,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-mbg/pom.xml,com.macro.mall,NAME,maven,project.parent_mall-swarm.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,2
