index,rating,gpt-4o-2024-05-13,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
403,True,FN,spring-boot-admin,project.dependencies.dependency_spring-boot-starter-security.groupId,spring-boot-admin-samples/spring-boot-admin-sample-eureka/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-security.groupId,org.springframework.boot,spring-boot-admin-samples/spring-boot-admin-sample-servlet/pom.xml,NAME,maven,2
408,False,FP,spring-boot-admin,management.endpoints.web.path-mapping.health,spring-boot-admin-samples/spring-boot-admin-sample-consul/src/main/resources/application.yml,/ping,PATH,spring,spring.cloud.consul.discovery.metadata.health-path,/ping,spring-boot-admin-samples/spring-boot-admin-sample-consul/src/main/resources/application.yml,PATH,spring,2
414,True,FN,spring-boot-admin,project.dependencies.dependency_spring-boot-starter-web.groupId,spring-boot-admin-samples/spring-boot-admin-sample-consul/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-web.groupId,org.springframework.boot,spring-boot-admin-server-ui/pom.xml,NAME,maven,3
419,True,FN,spring-boot-admin,project.dependencies.dependency_lombok.artifactId,spring-boot-admin-client/pom.xml,lombok,NAME,maven,project.dependencies.dependency_lombok.artifactId,lombok,spring-boot-admin-server/pom.xml,NAME,maven,3
425,True,FN,spring-boot-admin,project.build.pluginManagement.plugins.plugin_frontend-maven-plugin.artifactId,pom.xml,frontend-maven-plugin,NAME,maven,project.profiles.profile_noNpm.build.plugins.plugin_frontend-maven-plugin.artifactId,frontend-maven-plugin,spring-boot-admin-server-ui/pom.xml,NAME,maven,3
460,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_fastjson.artifactId,ace-dev-base/ace-common/pom.xml,fastjson,NAME,maven,project.dependencies.dependency_fastjson.artifactId,fastjson,ace-modules/ace-admin/pom.xml,NAME,maven,2
463,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_ace-api.groupId,ace-modules/ace-sample/pom.xml,com.github.wxiaoqi,NAME,maven,project.parent_ace-modules.groupId,com.github.wxiaoqi,ace-modules/ace-sample/pom.xml,NAME,maven,1
469,False,FP,Spring-Cloud-Platform,project.dependencies.dependency_lucene-highlighter.groupId,ace-modules/ace-tool/pom.xml,org.apache.lucene,NAME,maven,project.dependencies.dependency_lucene-queryparser.groupId,org.apache.lucene,ace-modules/ace-tool/pom.xml,NAME,maven,3
470,True,FN,Spring-Cloud-Platform,project.build.plugins.plugin_maven-compiler-plugin.artifactId,ace-dev-base/ace-common/pom.xml,maven-compiler-plugin,NAME,maven,project.build.plugins.plugin_maven-compiler-plugin.artifactId,maven-compiler-plugin,ace-gate/pom.xml,NAME,maven,2
474,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_spring-cloud-starter-openfeign.artifactId,ace-gate/pom.xml,spring-cloud-starter-openfeign,NAME,maven,project.dependencies.dependency_spring-cloud-starter-openfeign.artifactId,spring-cloud-starter-openfeign,ace-modules/ace-tool/pom.xml,NAME,maven,1
476,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_spring-boot-starter-jdbc.artifactId,ace-modules/ace-admin/pom.xml,spring-boot-starter-jdbc,NAME,maven,project.dependencies.dependency_spring-boot-starter-jdbc.artifactId,spring-boot-starter-jdbc,ace-modules/ace-generator/pom.xml,NAME,maven,2
480,True,FN,Spring-Cloud-Platform,project.build.plugins.plugin_maven-compiler-plugin.configuration.target,ace-gate/pom.xml,target:1.8,VERSION_NUMBER,maven,project.build.plugins.plugin_maven-compiler-plugin.configuration.target,target:1.8,ace-modules/ace-admin/pom.xml,VERSION_NUMBER,maven,1
485,True,FN,Spring-Cloud-Platform,project.modelVersion,ace-infrastructure/ace-monitor/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,ace-modules/ace-admin/pom.xml,VERSION_NUMBER,maven,2
486,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_spring-webmvc.artifactId,ace-modules/ace-admin/pom.xml,spring-webmvc,NAME,maven,project.dependencies.dependency_spring-webmvc.artifactId,spring-webmvc,ace-modules/ace-sample/pom.xml,NAME,maven,2
487,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_ace-common.artifactId,ace-dev-base/ace-auth-sdk/pom.xml,ace-common,NAME,maven,project.dependencies.dependency_ace-common.artifactId,ace-common,ace-modules/ace-sample/pom.xml,NAME,maven,2
491,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_javax.servlet-api.version,ace-modules/ace-admin/pom.xml,javax.servlet-api:3.1.0,VERSION_NUMBER,maven,project.dependencies.dependency_javax.servlet-api.version,javax.servlet-api:3.1.0,ace-modules/ace-sample/pom.xml,VERSION_NUMBER,maven,2
494,True,FN,Spring-Cloud-Platform,project.dependencies.dependency_commons-lang3.groupId,ace-dev-base/ace-common/pom.xml,org.apache.commons,NAME,maven,project.dependencies.dependency_commons-lang3.groupId,org.apache.commons,ace-modules/ace-admin/pom.xml,NAME,maven,2
499,True,FN,Spring-Cloud-Platform,project.modelVersion,ace-dev-base/ace-auth-sdk/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,ace-modules/ace-generator/pom.xml,VERSION_NUMBER,maven,2
