index,rating,gpt-4o-2024-05-13,gpt-3.5-turbo-0125,llama3:70b,llama3:8b,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,TP_TN_count
41,False,TN,TN,TN,TN,apollo,project.profiles.profile_sql-converter.activation.activeByDefault,apollo-build-sql-converter/pom.xml,FALSE,BOOLEAN,maven,project.build.plugins.plugin_maven-surefire-plugin.configuration.trimStackTrace,FALSE,pom.xml,BOOLEAN,maven,4
42,True,TP,TP,FN,TP,apollo,project.artifactId,apollo-audit/apollo-audit-annotation/pom.xml,apollo-audit-annotation,NAME,maven,project.modules.module,apollo-audit-annotation,apollo-audit/pom.xml,NAME,maven,3
43,False,FP,TN,TN,FP,apollo,project.parent_apollo.groupId,apollo-audit/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-biz.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
44,False,TN,TN,TN,TN,apollo,spring.cloud.consul.enabled,apollo-portal/src/test/resources/application.properties,FALSE,BOOLEAN,spring,spring.jpa.properties.hibernate.globally_quoted_identifiers,FALSE,apollo-portal/src/test/resources/application.properties,ID,spring,4
45,False,TN,TN,TN,TN,apollo,spring.jpa.defer-datasource-initialization,apollo-adminservice/src/test/resources/application.properties,TRUE,VERSION_NUMBER,spring,project.build.pluginManagement.plugins.plugin_git-commit-id-plugin.configuration.generateGitPropertiesFile,TRUE,pom.xml,BOOLEAN,maven,4
46,False,TN,FP,TN,FP,apollo,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,apollo-assembly/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-actuator.groupId,org.springframework.boot,apollo-common/pom.xml,NAME,maven,2
47,False,TN,TN,TN,TN,apollo,project.profiles.profile_sql-converter.activation.activeByDefault,apollo-build-sql-converter/pom.xml,FALSE,BOOLEAN,maven,project.build.pluginManagement.plugins.plugin_git-commit-id-plugin.configuration.failOnNoGitDirectory,FALSE,pom.xml,PATH,maven,4
48,False,TN,FP,TN,FP,apollo,project.dependencies.dependency_apollo-audit-spring-boot-starter.groupId,apollo-biz/pom.xml,com.ctrip.framework.apollo,NAME,maven,project.dependencyManagement.dependencies.dependency_apollo-adminservice.groupId,com.ctrip.framework.apollo,pom.xml,NAME,maven,2
49,False,TN,TN,FP,FP,apollo,project.dependencies.dependency_spring-boot-starter-actuator.groupId,apollo-common/pom.xml,org.springframework.boot,NAME,maven,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,org.springframework.boot,apollo-portal/pom.xml,NAME,maven,2
50,True,TP,TP,TP,TP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/gateway-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/protocol-component/pom.xml,PATH,maven,4
51,True,TP,TP,TP,TP,jetlinks-community,project.modelVersion,jetlinks-manager/device-manager/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-manager/pom.xml,VERSION_NUMBER,maven,4
52,True,TP,TP,TP,TP,jetlinks-community,project.dependencies.dependency_notify-core.artifactId,jetlinks-components/notify-component/notify-dingtalk/pom.xml,notify-core,NAME,maven,project.dependencies.dependency_notify-core.artifactId,notify-core,jetlinks-components/notify-component/notify-sms/pom.xml,NAME,maven,4
53,True,TP,TP,TP,TP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/common-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/elasticsearch-component/pom.xml,PATH,maven,4
54,False,TN,TN,TN,FP,jetlinks-community,project.dependencies.dependency_protocol-component.groupId,jetlinks-manager/network-manager/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_tdengine-component.groupId,org.jetlinks.community,jetlinks-standalone/pom.xml,NAME,maven,3
55,True,FN,FN,TP,TP,jetlinks-community,project.modelVersion,jetlinks-manager/authentication-manager/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-manager/pom.xml,VERSION_NUMBER,maven,2
56,False,FP,TN,TN,TN,jetlinks-community,project.parent_notify-component.relativePath,jetlinks-components/notify-component/notify-dingtalk/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/protocol-component/pom.xml,PATH,maven,3
57,True,TP,FN,FN,FN,jetlinks-community,project.artifactId,jetlinks-components/pom.xml,jetlinks-components,NAME,maven,project.parent_jetlinks-components.artifactId,jetlinks-components,jetlinks-components/relation-component/pom.xml,NAME,maven,1
58,True,FN,FN,TP,FN,jetlinks-community,services.elasticsearch.ports.in,docker/dev-env/docker-compose.yml,9300,PORT,docker-compose,services.elasticsearch.ports.out,9300,docker/dev-env/docker-compose.yml,PORT,docker-compose,1
59,True,TP,TP,FN,TP,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,jetlinks-components/network-component/mqtt-component/pom.xml,org.jetlinks,NAME,maven,project.dependencies.dependency_jetlinks-core.groupId,org.jetlinks,jetlinks-manager/notify-manager/pom.xml,NAME,maven,3
60,True,FN,TP,TP,TP,jetlinks-community,project.dependencies.dependency_logback-classic.groupId,jetlinks-components/logging-component/pom.xml,ch.qos.logback,NAME,maven,project.dependencies.dependency_logback-classic.groupId,ch.qos.logback,pom.xml,NAME,maven,3
61,True,TP,TP,FN,TP,jetlinks-community,project.artifactId,jetlinks-components/elasticsearch-component/pom.xml,elasticsearch-component,NAME,maven,project.dependencies.dependency_elasticsearch-component.artifactId,elasticsearch-component,jetlinks-manager/device-manager/pom.xml,NAME,maven,3
62,False,TN,TN,TN,TN,jetlinks-community,services.jetlinks.environment.hsweb.cors.configs[0].allowed-credentials,docker/run-all/docker-compose.yml,TRUE,ENVIRONMENT,docker-compose,project.dependencies.dependency_spring-data-redis.optional,TRUE,jetlinks-components/common-component/pom.xml,BOOLEAN,maven,4
63,False,TN,TN,TN,TN,jetlinks-community,project.dependencies.dependency_common-component.scope,jetlinks-components/protocol-component/pom.xml,compile,UNKNOWN,maven,project.dependencies.dependency_reactor-netty.scope,compile,jetlinks-standalone/pom.xml,UNKNOWN,maven,4
64,False,TN,TN,TN,FP,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,jetlinks-components/configure-component/pom.xml,org.jetlinks.community,NAME,maven,project.parent_notify-component.groupId,org.jetlinks.community,jetlinks-components/notify-component/notify-email/pom.xml,NAME,maven,3
65,True,FN,TP,TP,TP,jetlinks-community,project.dependencies.dependency_tcp-component.groupId,jetlinks-manager/network-manager/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_authentication-manager.groupId,${project.groupId},jetlinks-standalone/pom.xml,NAME,maven,3
67,True,FN,FN,FN,TP,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/relation-component/pom.xml,VERSION_NUMBER,maven,1
68,True,TP,FN,TP,TP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/elasticsearch-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/notify-component/pom.xml,PATH,maven,3
69,False,FP,FP,FP,TN,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,jetlinks-components/dashboard-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_common-component.groupId,${project.groupId},jetlinks-components/rule-engine-component/pom.xml,NAME,maven,1
70,True,TP,TP,FN,TP,jetlinks-community,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-manager/notify-manager/pom.xml,jetlinks-supports,NAME,maven,project.dependencies.dependency_jetlinks-supports.artifactId,jetlinks-supports,jetlinks-standalone/pom.xml,NAME,maven,3
71,True,TP,TP,TP,TP,jetlinks-community,project.dependencies.dependency_timeseries-component.version,jetlinks-components/dashboard-component/pom.xml,timeseries-component:${project.version},VERSION_NUMBER,maven,project.dependencies.dependency_timeseries-component.version,timeseries-component:${project.version},jetlinks-components/things-component/pom.xml,VERSION_NUMBER,maven,4
72,False,TN,TN,TN,TN,jetlinks-community,project.dependencies.dependency_rule-engine-component.optional,jetlinks-components/notify-component/notify-core/pom.xml,TRUE,BOOLEAN,maven,project.dependencies.dependency_things-component.optional,TRUE,jetlinks-components/tdengine-component/pom.xml,BOOLEAN,maven,4
73,False,TN,FP,FP,FP,jetlinks-community,project.dependencies.dependency_vertx-core.groupId,jetlinks-components/network-component/mqtt-component/pom.xml,io.vertx,NAME,maven,project.dependencies.dependency_vertx-mqtt.groupId,io.vertx,jetlinks-components/network-component/mqtt-component/pom.xml,NAME,maven,1
74,True,FN,TP,TP,TP,jetlinks-community,project.modelVersion,jetlinks-components/configure-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/notify-component/notify-voice/pom.xml,VERSION_NUMBER,maven,3
77,False,TN,TN,TN,FP,jetlinks-community,project.dependencies.dependency_cron-utils.scope,jetlinks-components/common-component/pom.xml,compile,UNKNOWN,maven,project.build.plugins.plugin_gmavenplus-plugin.executions.execution.goals.goal_compile,compile,pom.xml,UNKNOWN,maven,3
78,False,FP,TN,TN,FP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/network-component/pom.xml,../pom.xml,PATH,maven,project.parent_network-component.relativePath,../pom.xml,jetlinks-components/network-component/tcp-component/pom.xml,PATH,maven,2
79,False,TN,TN,TN,FP,jetlinks-community,project.dependencies.dependency_script-component.groupId,jetlinks-manager/device-manager/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,jetlinks-manager/network-manager/pom.xml,NAME,maven,3
80,False,TN,FP,FP,FP,jetlinks-community,project.parent_jetlinks-components.version,jetlinks-components/gateway-component/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_notify-component.version,version:2.2.0-SNAPSHOT,jetlinks-components/notify-component/notify-email/pom.xml,VERSION_NUMBER,maven,1
81,True,FN,TP,TP,TP,jetlinks-community,project.dependencies.dependency_notify-core.groupId,jetlinks-components/notify-component/notify-voice/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_rule-engine-component.groupId,${project.groupId},jetlinks-manager/rule-engine-manager/pom.xml,NAME,maven,3
82,False,TN,FP,TN,FP,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,jetlinks-components/gateway-component/pom.xml,org.jetlinks,NAME,maven,project.dependencies.dependency_reactor-ql.groupId,org.jetlinks,jetlinks-components/relation-component/pom.xml,NAME,maven,2
83,True,TP,FN,TP,TP,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,jetlinks-components/rule-engine-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_io-component.groupId,${project.groupId},jetlinks-manager/device-manager/pom.xml,NAME,maven,3
84,True,TP,TP,TP,TP,jetlinks-community,project.parent_notify-component.relativePath,jetlinks-components/notify-component/notify-dingtalk/pom.xml,../pom.xml,PATH,maven,project.parent_notify-component.relativePath,../pom.xml,jetlinks-components/notify-component/notify-email/pom.xml,PATH,maven,4
85,False,TN,FP,TN,FP,jetlinks-community,project.dependencies.dependency_hsweb-commons-crud.groupId,jetlinks-components/elasticsearch-component/pom.xml,org.hswebframework.web,NAME,maven,project.dependencies.dependency_hsweb-starter.groupId,org.hswebframework.web,jetlinks-manager/authentication-manager/pom.xml,NAME,maven,2
86,True,FN,FN,FN,TP,jetlinks-community,project.modelVersion,jetlinks-components/common-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/network-component/mqtt-component/pom.xml,VERSION_NUMBER,maven,1
87,False,TN,FP,FP,FP,jetlinks-community,project.parent_notify-component.version,jetlinks-components/notify-component/notify-voice/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,jetlinks-manager/notify-manager/pom.xml,VERSION_NUMBER,maven,1
88,True,TP,TP,TP,TP,jetlinks-community,project.dependencies.dependency_commons-text.groupId,pom.xml,org.apache.commons,NAME,maven,project.dependencyManagement.dependencies.dependency_commons-text.groupId,org.apache.commons,pom.xml,NAME,maven,4
89,True,FN,TP,FN,FN,jetlinks-community,project.modelVersion,jetlinks-components/notify-component/notify-sms/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/rule-engine-component/pom.xml,VERSION_NUMBER,maven,1
90,False,FP,TN,TN,TN,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/elasticsearch-component/pom.xml,../pom.xml,PATH,maven,project.parent_network-component.relativePath,../pom.xml,jetlinks-components/network-component/network-core/pom.xml,PATH,maven,3
91,True,TP,TP,TP,TP,jetlinks-community,project.dependencies.dependency_jetlinks-supports.version,jetlinks-manager/network-manager/pom.xml,jetlinks-supports:${jetlinks.version},VERSION_NUMBER,maven,project.dependencies.dependency_jetlinks-supports.version,jetlinks-supports:${jetlinks.version},jetlinks-standalone/pom.xml,VERSION_NUMBER,maven,4
92,False,TN,FP,TN,TN,jetlinks-community,project.parent_jetlinks-components.groupId,jetlinks-components/timeseries-component/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,jetlinks-manager/network-manager/pom.xml,NAME,maven,3
93,False,TN,TN,TN,TN,jetlinks-community,project.dependencies.dependency_network-core.groupId,jetlinks-components/network-component/http-component/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_rule-engine-component.groupId,org.jetlinks.community,jetlinks-components/notify-component/notify-core/pom.xml,NAME,maven,4
94,True,TP,FN,TP,FN,jetlinks-community,project.parent_jetlinks-manager.version,jetlinks-manager/device-manager/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,jetlinks-manager/network-manager/pom.xml,VERSION_NUMBER,maven,2
95,False,TN,TN,FP,FP,jetlinks-community,project.parent_jetlinks-components.groupId,jetlinks-components/script-component/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_common-component.groupId,org.jetlinks.community,jetlinks-components/things-component/pom.xml,NAME,maven,2
96,True,TP,TP,TP,TP,jetlinks-community,project.dependencies.dependency_common-component.version,jetlinks-components/script-component/pom.xml,common-component:${project.version},VERSION_NUMBER,maven,project.dependencies.dependency_common-component.version,common-component:${project.version},jetlinks-manager/notify-manager/pom.xml,VERSION_NUMBER,maven,4
97,False,TN,TN,FP,FP,jetlinks-community,project.dependencies.dependency_relation-component.groupId,jetlinks-components/notify-component/notify-core/pom.xml,org.jetlinks.community,NAME,maven,project.parent_jetlinks-manager.groupId,org.jetlinks.community,jetlinks-manager/logging-manager/pom.xml,NAME,maven,2
98,True,FN,TP,FN,TP,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/timeseries-component/pom.xml,VERSION_NUMBER,maven,2
99,True,FN,TP,TP,TP,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/dashboard-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/protocol-component/pom.xml,PATH,maven,3
100,False,TN,TN,FP,TN,litemall,logging.level.org.linlinjava.litemall,litemall-admin-api/src/main/resources/application.yml,ERROR,UNKNOWN,spring,logging.level.org.linlinjava.litemall,ERROR,litemall-wx-api/src/main/resources/application.yml,UNKNOWN,spring,3
101,True,TP,TP,TP,FN,litemall,COPY.src,docker/litemall/Dockerfile,litemall.jar,PATH,docker,ENTRYPOINT.param3,litemall.jar,docker/litemall/Dockerfile,PATH,docker,3
102,True,FN,FN,TP,TP,litemall,project.dependencies.dependency_litemall-admin-api.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.groupId,org.linlinjava,pom.xml,NAME,maven,2
103,True,TP,TP,TP,TP,litemall,project.parent_litemall.version,litemall-wx-api/pom.xml,version:0.1.0,VERSION_NUMBER,maven,project.version,version:0.1.0,pom.xml,VERSION_NUMBER,maven,4
104,True,TP,TP,TP,TP,litemall,project.dependencies.dependency_weixin-java-pay.exclusions.exclusion_qrcode-utils.groupId,litemall-wx-api/pom.xml,com.github.binarywang,NAME,maven,project.dependencies.dependency_weixin-java-pay.groupId,com.github.binarywang,litemall-wx-api/pom.xml,NAME,maven,4
105,True,TP,FN,FN,TP,litemall,project.dependencies.dependency_litemall-db.artifactId,litemall-admin-api/pom.xml,litemall-db,NAME,maven,project.artifactId,litemall-db,litemall-db/pom.xml,NAME,maven,2
106,True,FN,TP,FN,TP,litemall,project.dependencies.dependency_weixin-java-miniapp.artifactId,litemall-core/pom.xml,weixin-java-miniapp,NAME,maven,project.dependencies.dependency_weixin-java-miniapp.artifactId,weixin-java-miniapp,litemall-wx-api/pom.xml,NAME,maven,2
107,False,TN,FP,FP,FP,litemall,project.dependencies.dependency_litemall-db.groupId,litemall-admin-api/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,1
