index,rating,gpt-3.5-turbo-0125,project,option_name,option_file,option_value,option_type,option_technology,dependent_option_name,dependent_option_value,dependent_option_file,dependent_option_type,dependent_option_technology,FP_FN_count
66,False,FP,jetlinks-community,project.dependencies.dependency_gateway-component.version,jetlinks-components/network-component/mqtt-component/pom.xml,gateway-component:${project.version},VERSION_NUMBER,maven,project.dependencies.dependency_gateway-component.version,gateway-component:${project.version},jetlinks-standalone/pom.xml,VERSION_NUMBER,maven,4
67,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/logging-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/relation-component/pom.xml,VERSION_NUMBER,maven,3
68,True,FN,jetlinks-community,project.parent_jetlinks-components.relativePath,jetlinks-components/elasticsearch-component/pom.xml,../pom.xml,PATH,maven,project.parent_jetlinks-components.relativePath,../pom.xml,jetlinks-components/notify-component/pom.xml,PATH,maven,1
69,False,FP,jetlinks-community,project.dependencies.dependency_timeseries-component.groupId,jetlinks-components/dashboard-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_common-component.groupId,${project.groupId},jetlinks-components/rule-engine-component/pom.xml,NAME,maven,3
73,False,FP,jetlinks-community,project.dependencies.dependency_vertx-core.groupId,jetlinks-components/network-component/mqtt-component/pom.xml,io.vertx,NAME,maven,project.dependencies.dependency_vertx-mqtt.groupId,io.vertx,jetlinks-components/network-component/mqtt-component/pom.xml,NAME,maven,3
75,True,FN,jetlinks-community,project.parent_jetlinks-manager.artifactId,jetlinks-manager/authentication-manager/pom.xml,jetlinks-manager,NAME,maven,project.modules.module,jetlinks-manager,pom.xml,NAME,maven,4
76,False,FP,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,jetlinks-components/logging-component/pom.xml,org.jetlinks.community,NAME,maven,project.groupId,org.jetlinks.community,pom.xml,NAME,maven,4
80,False,FP,jetlinks-community,project.parent_jetlinks-components.version,jetlinks-components/gateway-component/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_notify-component.version,version:2.2.0-SNAPSHOT,jetlinks-components/notify-component/notify-email/pom.xml,VERSION_NUMBER,maven,3
82,False,FP,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,jetlinks-components/gateway-component/pom.xml,org.jetlinks,NAME,maven,project.dependencies.dependency_reactor-ql.groupId,org.jetlinks,jetlinks-components/relation-component/pom.xml,NAME,maven,2
83,True,FN,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,jetlinks-components/rule-engine-component/pom.xml,${project.groupId},NAME,maven,project.dependencies.dependency_io-component.groupId,${project.groupId},jetlinks-manager/device-manager/pom.xml,NAME,maven,1
85,False,FP,jetlinks-community,project.dependencies.dependency_hsweb-commons-crud.groupId,jetlinks-components/elasticsearch-component/pom.xml,org.hswebframework.web,NAME,maven,project.dependencies.dependency_hsweb-starter.groupId,org.hswebframework.web,jetlinks-manager/authentication-manager/pom.xml,NAME,maven,2
86,True,FN,jetlinks-community,project.modelVersion,jetlinks-components/common-component/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,jetlinks-components/network-component/mqtt-component/pom.xml,VERSION_NUMBER,maven,3
87,False,FP,jetlinks-community,project.parent_notify-component.version,jetlinks-components/notify-component/notify-voice/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,jetlinks-manager/notify-manager/pom.xml,VERSION_NUMBER,maven,3
92,False,FP,jetlinks-community,project.parent_jetlinks-components.groupId,jetlinks-components/timeseries-component/pom.xml,org.jetlinks.community,NAME,maven,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,jetlinks-manager/network-manager/pom.xml,NAME,maven,1
94,True,FN,jetlinks-community,project.parent_jetlinks-manager.version,jetlinks-manager/device-manager/pom.xml,version:2.2.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,jetlinks-manager/network-manager/pom.xml,VERSION_NUMBER,maven,2
102,True,FN,litemall,project.dependencies.dependency_litemall-admin-api.groupId,litemall-all-war/pom.xml,org.linlinjava,NAME,maven,project.groupId,org.linlinjava,pom.xml,NAME,maven,2
105,True,FN,litemall,project.dependencies.dependency_litemall-db.artifactId,litemall-admin-api/pom.xml,litemall-db,NAME,maven,project.artifactId,litemall-db,litemall-db/pom.xml,NAME,maven,2
107,False,FP,litemall,project.dependencies.dependency_litemall-db.groupId,litemall-admin-api/pom.xml,org.linlinjava,NAME,maven,project.dependencies.dependency_litemall-wx-api.groupId,org.linlinjava,litemall-all-war/pom.xml,NAME,maven,3
115,True,FN,litemall,services.mysql57.ports.in,docker/docker-compose.yml,3306,PORT,docker-compose,services.mysql57.ports.out,3306,docker/docker-compose.yml,PORT,docker-compose,3
118,True,FN,litemall,project.parent_litemall.version,litemall-core/pom.xml,version:0.1.0,VERSION_NUMBER,maven,project.version,version:0.1.0,pom.xml,VERSION_NUMBER,maven,1
120,False,FP,litemall,logging.level.org.mybatis,litemall-core/src/main/resources/application.yml,ERROR,UNKNOWN,spring,logging.level.root,ERROR,litemall-core/src/main/resources/application.yml,UNKNOWN,spring,1
122,False,FP,litemall,logging.level.org.springframework,litemall-core/src/main/resources/application.yml,ERROR,UNKNOWN,spring,logging.level.root,ERROR,litemall-wx-api/src/main/resources/application.yml,UNKNOWN,spring,1
128,True,FN,litemall,project.parent_litemall.version,litemall-all-war/pom.xml,version:0.1.0,VERSION_NUMBER,maven,project.parent_litemall.version,version:0.1.0,litemall-wx-api/pom.xml,VERSION_NUMBER,maven,1
129,False,FP,litemall,project.packaging,litemall-core/pom.xml,jar,TYPE,maven,project.packaging,jar,litemall-wx-api/pom.xml,TYPE,maven,2
134,False,FP,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.goals.goal_copy-resources,litemall-all/pom.xml,copy-resources,VERSION_NUMBER,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,litemall-all/pom.xml,ID,maven,2
135,False,FP,litemall,project.dependencies.dependency_springfox-swagger-ui.groupId,litemall-admin-api/pom.xml,io.springfox,NAME,maven,project.dependencyManagement.dependencies.dependency_springfox-swagger2.groupId,io.springfox,pom.xml,NAME,maven,2
139,False,FP,litemall,project.packaging,litemall-all/pom.xml,jar,TYPE,maven,project.packaging,jar,litemall-core/pom.xml,TYPE,maven,2
143,False,FP,litemall,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,litemall-all-war/pom.xml,copy-resources,ID,maven,project.build.plugins.plugin_maven-resources-plugin.executions.execution_copy-resources.id,copy-resources,litemall-all/pom.xml,ID,maven,2
147,False,FP,litemall,scripts.dev,litemall-vue/package.json,vue-cli-service serve,COMMAND,nodejs,scripts.serve,vue-cli-service serve,litemall-vue/package.json,COMMAND,nodejs,1
149,True,FN,litemall,project.dependencies.dependency_litemall-core.artifactId,litemall-all-war/pom.xml,litemall-core,NAME,maven,project.modules.module,litemall-core,pom.xml,NAME,maven,2
151,True,FN,mall-swarm,project.modelVersion,mall-common/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-portal/pom.xml,VERSION_NUMBER,maven,2
152,True,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-demo/pom.xml,com.macro.mall,NAME,maven,project.dependencyManagement.dependencies.dependency_mall-mbg.groupId,com.macro.mall,pom.xml,NAME,maven,3
154,False,FP,mall-swarm,project.parent_mall-swarm.version,mall-gateway/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-mbg/pom.xml,VERSION_NUMBER,maven,3
158,True,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-mbg/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-portal/pom.xml,NAME,maven,3
161,True,FN,mall-swarm,project.parent_mall-swarm.artifactId,mall-admin/pom.xml,mall-swarm,NAME,maven,project.parent_mall-swarm.artifactId,mall-swarm,mall-demo/pom.xml,NAME,maven,3
162,False,FP,mall-swarm,project.parent_mall-swarm.version,mall-auth/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-monitor/pom.xml,VERSION_NUMBER,maven,2
163,True,FN,mall-swarm,project.artifactId,mall-portal/pom.xml,mall-portal,NAME,maven,project.modules.module,mall-portal,pom.xml,NAME,maven,3
164,True,FN,mall-swarm,project.parent_mall-swarm.groupId,mall-mbg/pom.xml,com.macro.mall,NAME,maven,project.parent_mall-swarm.groupId,com.macro.mall,mall-search/pom.xml,NAME,maven,2
167,False,FP,mall-swarm,services.mall-admin.environment.TZ,document/docker/docker-compose-app.yml,"""Asia/Shanghai""",ENVIRONMENT,docker-compose,services.mall-portal.environment.TZ,"""Asia/Shanghai""",document/docker/docker-compose-app.yml,ENVIRONMENT,docker-compose,3
168,True,FN,mall-swarm,project.artifactId,mall-mbg/pom.xml,mall-mbg,NAME,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,mall-portal/pom.xml,NAME,maven,2
171,True,FN,mall-swarm,project.modelVersion,mall-gateway/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-monitor/pom.xml,VERSION_NUMBER,maven,3
172,False,FP,mall-swarm,project.version,mall-search/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,pom.xml,VERSION_NUMBER,maven,4
176,True,FN,mall-swarm,project.modelVersion,mall-auth/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-gateway/pom.xml,VERSION_NUMBER,maven,3
177,False,FP,mall-swarm,project.build.plugins.plugin_spring-boot-maven-plugin.groupId,mall-admin/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,mall-portal/pom.xml,NAME,maven,2
181,True,FN,mall-swarm,project.artifactId,mall-mbg/pom.xml,mall-mbg,NAME,maven,project.dependencies.dependency_mall-mbg.artifactId,mall-mbg,mall-portal/pom.xml,NAME,maven,2
183,False,FP,mall-swarm,project.dependencies.dependency_mall-common.exclusions.exclusion_spring-boot-starter-web.groupId,mall-gateway/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-data-redis.groupId,org.springframework.boot,mall-gateway/pom.xml,NAME,maven,1
184,True,FN,mall-swarm,project.dependencyManagement.dependencies.dependency_mall-mbg.artifactId,pom.xml,mall-mbg,NAME,maven,project.modules.module,mall-mbg,pom.xml,NAME,maven,3
185,True,FN,mall-swarm,project.build.plugins.plugin_docker-maven-plugin.groupId,mall-admin/pom.xml,io.fabric8,NAME,maven,project.build.plugins.plugin_docker-maven-plugin.groupId,io.fabric8,mall-auth/pom.xml,NAME,maven,3
190,False,FP,mall-swarm,project.dependencyManagement.dependencies.dependency_spring-cloud-alibaba-dependencies.type,pom.xml,pom,TYPE,maven,project.dependencyManagement.dependencies.dependency_spring-cloud-dependencies.type,pom,pom.xml,TYPE,maven,2
192,True,FN,mall-swarm,project.artifactId,mall-portal/pom.xml,mall-portal,NAME,maven,project.modules.module,mall-portal,pom.xml,NAME,maven,3
193,False,FP,mall-swarm,project.version,mall-admin/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.parent_mall-swarm.version,version:1.0-SNAPSHOT,mall-demo/pom.xml,VERSION_NUMBER,maven,2
196,True,FN,mall-swarm,project.groupId,mall-auth/pom.xml,com.macro.mall,NAME,maven,project.dependencies.dependency_mall-common.groupId,com.macro.mall,mall-gateway/pom.xml,NAME,maven,3
201,False,FP,mall,spring.redis.port,mall-portal/src/main/resources/application-dev.yml,6379,PORT,spring,spring.redis.port,6379,mall-portal/src/main/resources/application-prod.yml,PORT,spring,2
202,True,FN,mall,ADD.src,document/sh/Dockerfile,mall-admin-1.0-SNAPSHOT.jar,PATH,docker,ENTRYPOINT.param2,mall-admin-1.0-SNAPSHOT.jar,document/sh/Dockerfile,UNKNOWN,docker,2
203,False,FP,mall,project.version,mall-admin/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-demo/pom.xml,VERSION_NUMBER,maven,2
208,False,FP,mall,project.parent_mall.version,mall-portal/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,mall-security/pom.xml,VERSION_NUMBER,maven,3
213,False,FP,mall,logging.level.com.macro.mall,mall-admin/src/main/resources/application-prod.yml,info,UNKNOWN,spring,logging.level.root,info,mall-portal/src/main/resources/application-prod.yml,UNKNOWN,spring,1
214,True,FN,mall,project.parent_mall.groupId,mall-admin/pom.xml,com.macro.mall,NAME,maven,project.groupId,com.macro.mall,mall-common/pom.xml,NAME,maven,1
222,False,FP,mall,logging.level.com.macro.mall,mall-admin/src/main/resources/application-dev.yml,debug,UNKNOWN,spring,logging.level.com.macro.mall,debug,mall-demo/src/main/resources/application.yml,UNKNOWN,spring,1
223,True,FN,mall,project.groupId,mall-admin/pom.xml,com.macro.mall,NAME,maven,project.parent_mall.groupId,com.macro.mall,mall-mbg/pom.xml,NAME,maven,3
226,False,FP,mall,project.parent_mall.version,mall-demo/pom.xml,version:1.0-SNAPSHOT,VERSION_NUMBER,maven,project.version,version:1.0-SNAPSHOT,pom.xml,VERSION_NUMBER,maven,4
243,False,FP,mall,project.groupId,mall-demo/pom.xml,com.macro.mall,NAME,maven,project.parent_mall.groupId,com.macro.mall,mall-mbg/pom.xml,NAME,maven,1
244,True,FN,mall,project.modelVersion,mall-admin/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,mall-mbg/pom.xml,VERSION_NUMBER,maven,2
251,True,FN,music-website,project.properties.java.version,music-server/pom.xml,1.8,VERSION_NUMBER,maven,project.properties.maven.compiler.source,1.8,music-server/pom.xml,VERSION_NUMBER,maven,2
261,False,FP,music-website,spring.datasource.username,music-server/src/main/resources/application-dev.properties,root,USERNAME,spring,spring.datasource.username,root,music-server/src/main/resources/application-prod.properties,USERNAME,spring,2
264,False,FP,music-website,spring.datasource.username,music-server/src/main/resources/application-dev.properties,root,USERNAME,spring,spring.datasource.username,root,music-server/src/main/resources/application-prod.properties,USERNAME,spring,2
267,False,FP,music-website,mail.address,music-server/src/main/resources/application.yml,,IP_ADDRESS,spring,spring.mail.password,,music-server/src/main/resources/application.yml,PASSWORD,spring,1
282,False,FP,music-website,compilerOptions.module,music-client/tsconfig.json,esnext,UNKNOWN,tsconfig,compilerOptions.target,esnext,music-manage/tsconfig.json,VERSION_NUMBER,tsconfig,1
287,False,FP,music-website,project.dependencies.dependency_spring-boot-starter-web.groupId,music-server/pom.xml,org.springframework.boot,NAME,maven,project.parent_spring-boot-starter-parent.groupId,org.springframework.boot,music-server/pom.xml,NAME,maven,1
293,True,FN,music-website,services.db.environment.MYSQL_PASSWORD,music-server/docker-server/docker-compose.yml,123456,PASSWORD,docker-compose,spring.datasource.password,123456,music-server/src/main/resources/application-prod.properties,PASSWORD,spring,2
310,False,FP,piggymetrics,project.dependencies.dependency_spring-cloud-starter-netflix-hystrix-dashboard.groupId,monitoring/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-netflix-hystrix-stream.groupId,org.springframework.cloud,statistics-service/pom.xml,NAME,maven,2
316,False,FP,piggymetrics,CMD.param0,monitoring/Dockerfile,java,UNKNOWN,docker,CMD.param0,java,notification-service/Dockerfile,UNKNOWN,docker,3
321,False,FP,piggymetrics,project.dependencies.dependency_spring-cloud-starter-bus-amqp.groupId,notification-service/pom.xml,org.springframework.cloud,NAME,maven,project.dependencies.dependency_spring-cloud-starter-netflix-eureka-server.groupId,org.springframework.cloud,registry/pom.xml,NAME,maven,2
326,True,FN,piggymetrics,services.registry.ports.out,docker-compose.yml,8761,PORT,docker-compose,EXPOSE,8761,registry/Dockerfile,PORT,docker,2
333,False,FP,piggymetrics,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.finalName,registry/pom.xml,${project.name},NAME,maven,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.finalName,${project.name},turbine-stream-service/pom.xml,NAME,maven,2
336,False,FP,piggymetrics,project.modules.module,pom.xml,turbine-stream-service,NAME,maven,project.name,turbine-stream-service,turbine-stream-service/pom.xml,NAME,maven,3
337,False,FP,piggymetrics,FROM,auth-service/Dockerfile,java:8-jre,UNKNOWN,docker,FROM,java:8-jre,statistics-service/Dockerfile,UNKNOWN,docker,3
340,True,FN,piggymetrics,project.parent_piggymetrics.groupId,config/pom.xml,com.piggymetrics,NAME,maven,project.parent_piggymetrics.groupId,com.piggymetrics,notification-service/pom.xml,NAME,maven,2
342,False,FP,piggymetrics,version,docker-compose.dev.yml,version:2.1,VERSION_NUMBER,docker-compose,version,version:2.1,docker-compose.yml,VERSION_NUMBER,docker-compose,2
343,False,FP,piggymetrics,project.artifactId,auth-service/pom.xml,auth-service,NAME,maven,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.finalName,auth-service,auth-service/pom.xml,NAME,maven,3
346,True,FN,piggymetrics,project.parent_piggymetrics.artifactId,registry/pom.xml,piggymetrics,NAME,maven,project.parent_piggymetrics.artifactId,piggymetrics,statistics-service/pom.xml,NAME,maven,2
350,False,FP,pig,project.dependencies.dependency_spring-boot-starter-undertow.groupId,pig-boot/pom.xml,org.springframework.boot,NAME,maven,project.dependencyManagement.dependencies.dependency_spring-boot-starter-web.exclusions.exclusion_spring-boot-starter-tomcat.groupId,org.springframework.boot,pig-common/pig-common-bom/pom.xml,NAME,maven,2
352,True,FN,pig,project.parent_pig.artifactId,pig-boot/pom.xml,pig,NAME,maven,project.artifactId,pig,pom.xml,NAME,maven,2
356,True,FN,pig,project.parent_pig.groupId,pig-upms/pom.xml,com.pig4cloud,NAME,maven,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,pig-visual/pig-codegen/pom.xml,NAME,maven,3
357,False,FP,pig,CMD.param2,pig-gateway/Dockerfile,java,UNKNOWN,docker,CMD.param2,java,pig-upms/pig-upms-biz/Dockerfile,UNKNOWN,docker,2
359,True,FN,pig,project.properties.maven.compiler.source,pig-common/pig-common-bom/pom.xml,17,VERSION_NUMBER,maven,project.properties.maven.compiler.source,17,pom.xml,VERSION_NUMBER,maven,1
360,False,FP,pig,services.pig-codegen.restart,docker-compose.yml,always,MODE,docker-compose,services.pig-quartz.restart,always,docker-compose.yml,MODE,docker-compose,1
361,False,FP,pig,project.dependencies.dependency_pig-common-core.groupId,pig-common/pig-common-xss/pom.xml,com.pig4cloud,NAME,maven,project.dependencies.dependency_pig-common-log.groupId,com.pig4cloud,pig-upms/pig-upms-biz/pom.xml,NAME,maven,2
363,False,FP,pig,CMD.param5,pig-boot/Dockerfile,app.jar,PATH,docker,CMD.param5,app.jar,pig-upms/pig-upms-biz/Dockerfile,PATH,docker,2
366,False,FP,pig,project.packaging,pig-boot/pom.xml,jar,TYPE,maven,project.packaging,jar,pig-common/pig-common-seata/pom.xml,TYPE,maven,1
369,True,FN,pig,project.parent_pig-common.groupId,pig-common/pig-common-log/pom.xml,com.pig4cloud,NAME,maven,project.parent_pig.groupId,com.pig4cloud,pig-upms/pom.xml,NAME,maven,1
372,False,FP,pig,ENV.TZ,pig-register/Dockerfile,Asia,ENVIRONMENT,docker,ENV.TZ,Asia,pig-visual/pig-codegen/Dockerfile,ENVIRONMENT,docker,2
373,False,FP,pig,project.dependencyManagement.dependencies.dependency_mybatis-plus-spring-boot3-starter.groupId,pig-common/pig-common-bom/pom.xml,com.baomidou,NAME,maven,project.dependencies.dependency_mybatis-plus-extension.groupId,com.baomidou,pig-common/pig-common-mybatis/pom.xml,NAME,maven,2
374,True,FN,pig,services.pig-auth.networks,docker-compose.yml,spring_cloud_default,UNKNOWN,docker-compose,services.pig-mysql.networks,spring_cloud_default,docker-compose.yml,UNKNOWN,docker-compose,1
380,True,FN,pig,project.modelVersion,pig-common/pig-common-core/pom.xml,modelVersion:4.0.0,VERSION_NUMBER,maven,project.modelVersion,modelVersion:4.0.0,pig-common/pig-common-feign/pom.xml,VERSION_NUMBER,maven,1
386,False,FP,pig,ENV.TZ,pig-auth/Dockerfile,Asia,ENVIRONMENT,docker,ENV.TZ,Asia,pig-visual/pig-quartz/Dockerfile,ENVIRONMENT,docker,3
394,False,FP,pig,FROM,pig-boot/Dockerfile,registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,UNKNOWN,docker,FROM,registry.cn-hangzhou.aliyuncs.com/dockerhub_mirror/java:21-anolis,pig-visual/pig-monitor/Dockerfile,UNKNOWN,docker,3
395,False,FP,pig,project.dependencies.dependency_pig-common-swagger.groupId,pig-boot/pom.xml,com.pig4cloud,NAME,maven,project.parent_pig-common.groupId,com.pig4cloud,pig-common/pig-common-oss/pom.xml,NAME,maven,2
396,False,FP,pig,project.dependencies.dependency_pig-common-core.groupId,pig-gateway/pom.xml,com.pig4cloud,NAME,maven,project.dependencies.dependency_pig-common-datasource.groupId,com.pig4cloud,pig-visual/pig-codegen/pom.xml,NAME,maven,1
399,False,FP,pig,project.dependencyManagement.dependencies.dependency_pig-common-security.groupId,pig-common/pig-common-bom/pom.xml,com.pig4cloud,NAME,maven,project.dependencies.dependency_pig-common-core.groupId,com.pig4cloud,pig-gateway/pom.xml,NAME,maven,2
402,False,FP,spring-boot-admin,project.profiles.profile_coverage.build.plugins.plugin_jacoco-maven-plugin.artifactId,pom.xml,jacoco-maven-plugin,NAME,maven,project.profiles.profile_travis.build.plugins.plugin_jacoco-maven-plugin.artifactId,jacoco-maven-plugin,spring-boot-admin-samples/pom.xml,NAME,maven,2
404,False,FP,spring-boot-admin,project.profiles.profile_nativeTest.dependencies.dependency_junit-platform-launcher.scope,spring-boot-admin-samples/spring-boot-admin-sample-servlet-graalvm/pom.xml,test,UNKNOWN,maven,project.dependencies.dependency_spring-boot-starter-test.scope,test,spring-boot-admin-server-cloud/pom.xml,UNKNOWN,maven,1
405,False,FP,spring-boot-admin,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.addResources,spring-boot-admin-samples/spring-boot-admin-sample-war/pom.xml,FALSE,VERSION_NUMBER,maven,project.build.plugins.plugin_spring-boot-maven-plugin.configuration.addResources,FALSE,spring-boot-admin-samples/spring-boot-admin-sample-zookeeper/pom.xml,VERSION_NUMBER,maven,1
414,True,FN,spring-boot-admin,project.dependencies.dependency_spring-boot-starter-web.groupId,spring-boot-admin-samples/spring-boot-admin-sample-consul/pom.xml,org.springframework.boot,NAME,maven,project.dependencies.dependency_spring-boot-starter-web.groupId,org.springframework.boot,spring-boot-admin-server-ui/pom.xml,NAME,maven,3
417,True,FN,spring-boot-admin,project.artifactId,spring-boot-admin-samples/pom.xml,spring-boot-admin-samples,NAME,maven,project.parent_spring-boot-admin-samples.artifactId,spring-boot-admin-samples,spring-boot-admin-samples/spring-boot-admin-sample-zookeeper/pom.xml,NAME,maven,1
425,True,FN,spring-boot-admin,project.build.pluginManagement.plugins.plugin_frontend-maven-plugin.artifactId,pom.xml,frontend-maven-plugin,NAME,maven,project.profiles.profile_noNpm.build.plugins.plugin_frontend-maven-plugin.artifactId,frontend-maven-plugin,spring-boot-admin-server-ui/pom.xml,NAME,maven,3
426,False,FP,spring-boot-admin,project.parent_spring-boot-admin.groupId,spring-boot-admin-dependencies/pom.xml,de.codecentric,NAME,maven,project.dependencies.dependency_spring-boot-admin-server.groupId,de.codecentric,spring-boot-admin-starter-server/pom.xml,NAME,maven,2
428,False,FP,spring-boot-admin,project.parent_spring-boot-admin-dependencies.groupId,spring-boot-admin-build/pom.xml,de.codecentric,NAME,maven,project.dependencies.dependency_spring-boot-admin-starter-client.groupId,de.codecentric,spring-boot-admin-samples/spring-boot-admin-sample-reactive/pom.xml,NAME,maven,1
