index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,context_length,context_relevance,FP_FN_count
77,False,FP,TN,FP,FP,2239,none,3
78,False,FP,TN,FP,FP,2288,none,3
79,False,FP,TN,FP,TN,2395,none,2
80,False,FP,TN,TN,FP,2297,none,2
81,True,TP,TP,FN,FN,2335,none,2
82,False,FP,TN,TN,TN,2143,none,1
83,True,TP,TP,FN,TP,2217,none,1
84,True,TP,TP,FN,TP,2384,none,1
85,False,TN,TN,TN,FP,2212,none,1
86,True,TP,FN,FN,FN,2481,none,3
87,False,FP,TN,FP,FP,2297,none,3
89,True,TP,FN,TP,FN,2479,none,2
90,False,FP,TN,FP,TN,2277,none,2
92,False,TN,TN,FP,FP,2084,none,2
93,False,TN,TN,FP,FP,2395,none,2
95,False,TN,TN,FP,FP,2258,none,2
96,True,TP,TP,FN,TP,2380,none,1
97,False,FP,TN,TN,FP,2450,none,2
98,True,TP,FN,FN,FN,2437,none,3
99,True,TP,FN,TP,FN,2266,none,2
100,False,TN,FP,FP,FP,2176,none,3
107,False,FP,TN,FP,TN,2421,none,2
109,False,TN,FP,FP,FP,2222,none,3
110,False,TN,TN,FP,TN,2055,none,1
111,False,TN,TN,FP,TN,1941,none,1
113,False,TN,TN,FP,TN,2154,none,1
114,True,TP,TP,TP,FN,2019,none,1
115,True,TP,FN,TP,TP,2348,none,1
116,False,TN,TN,FP,FP,2294,none,2
117,False,TN,TN,FP,TN,2340,none,1
118,True,FN,TP,TP,TP,2286,none,1
119,False,TN,TN,FP,FP,2217,none,2
120,False,TN,TN,FP,TN,2384,none,1
121,False,TN,TN,FP,TN,2200,none,1
122,False,TN,TN,FP,TN,2247,none,1
123,True,TP,FN,TP,TP,2385,none,1
124,False,FP,TN,FP,TN,2010,none,2
125,True,TP,FN,TP,FN,2447,none,2
127,False,TN,TN,FP,TN,2226,none,1
129,False,FP,TN,FP,TN,2444,none,2
132,True,TP,FN,TP,TP,2244,none,1
134,False,TN,TN,FP,TN,2255,none,1
135,False,TN,FP,FP,FP,2333,none,3
136,True,TP,FN,TP,TP,2239,none,1
137,True,FN,FN,FN,FN,2400,none,4
138,True,TP,TP,FN,FN,2227,none,2
139,False,FP,TN,TN,FP,2371,none,2
140,False,FP,TN,FP,FP,2255,none,3
141,True,FN,FN,TP,FN,2375,none,3
143,False,FP,TN,FP,FP,2232,none,3
144,True,FN,TP,TP,TP,2396,none,1
147,False,FP,TN,FP,FP,2324,none,3
148,False,TN,TN,FP,FP,2301,none,2
150,True,FN,FN,TP,TP,2365,none,2
151,True,TP,FN,TP,FN,2437,none,2
152,True,FN,FN,TP,TP,2398,none,2
153,False,FP,TN,FP,TN,2259,none,2
154,False,TN,FP,FP,FP,2283,none,3
156,False,TN,TN,FP,TN,2304,none,1
157,True,TP,TP,TP,FN,2326,none,1
160,True,TP,TP,FP,TP,2119,none,1
162,False,FP,FP,TP,FP,2244,none,3
163,True,FN,TP,FP,TP,2139,none,2
165,True,TP,FN,TP,TP,2428,none,1
166,False,FP,FP,TP,TN,2275,none,2
167,False,FP,TN,FP,FP,2203,none,3
168,True,TP,TP,FP,TP,2289,none,1
170,True,TP,FN,FP,TP,2207,none,2
171,True,TP,FN,TP,FN,2481,none,2
172,False,FP,FP,TP,FP,2383,none,3
173,True,TP,FN,FP,TP,2428,none,2
175,False,TN,TN,TP,FP,2139,none,1
176,True,TP,FN,FP,FN,2356,none,3
177,False,FP,TN,TP,TN,2213,none,1
178,True,TP,TP,FP,FN,2427,none,2
179,True,TP,TP,TP,FN,2283,none,1
180,True,TP,FN,TP,TP,2397,none,1
181,True,TP,TP,FN,TP,2289,none,1
182,True,TP,TP,FN,TP,2427,none,1
183,False,FP,TN,FN,TN,2264,none,2
184,True,TP,TP,FP,FN,2364,none,2
185,True,TP,FN,TP,TP,2291,none,1
188,False,TN,TN,TP,FP,2168,none,1
189,False,FP,FP,FP,FP,2202,none,4
190,False,FP,TN,FP,TN,2336,none,2
191,True,TP,TP,FP,FN,2295,none,2
192,True,FN,TP,TP,FN,2094,none,2
193,False,FP,FP,TP,FP,2260,none,3
194,True,FN,TP,FP,TP,2315,none,2
195,False,TN,TN,TP,FP,2274,none,1
196,True,TP,FN,FP,TP,2401,none,2
197,False,FP,TN,TP,FP,2224,none,2
198,False,TN,TN,FP,TN,2292,none,1
199,True,TP,TP,FP,TP,2313,none,1
200,False,FP,TN,TP,FP,2390,none,2
201,False,FP,TN,FP,TN,2184,none,2
202,True,TP,TP,FP,TP,2173,none,1
203,False,FP,TN,TP,TN,2303,none,1
204,False,TN,FP,FP,FP,2255,none,3
205,False,FP,FP,FP,FP,2056,none,4
207,False,FP,TN,FP,TN,2227,none,2
208,False,TN,FP,FP,FP,2361,none,3
210,False,TN,TN,FP,TN,2170,none,1
211,True,TP,FN,FP,TP,2138,none,2
213,False,TN,TN,FP,TN,2287,none,1
214,True,TP,FN,FP,FN,2215,none,3
216,True,TP,TP,FP,TP,2437,none,1
217,False,FP,TN,TP,TN,2232,none,1
218,False,FP,TN,FP,TN,2366,none,2
219,True,TP,TP,FP,TP,2374,none,1
222,False,FP,TN,FP,FP,2355,none,3
223,True,TP,TP,FP,TP,2386,none,1
224,False,FP,TN,TP,FP,2395,none,2
225,False,TN,TN,FP,FP,2176,none,2
226,False,TN,FP,FP,FP,2361,none,3
227,False,FP,TN,FP,FP,2227,none,3
228,False,TN,TN,FP,FP,2272,none,2
229,False,TN,TN,FP,FP,2304,none,2
230,True,TP,TP,FP,TP,2328,none,1
232,False,FP,FP,TP,FP,1907,none,3
233,False,FP,TN,FP,FP,2085,none,3
234,True,TP,TP,FP,TP,2162,none,1
236,False,FP,TN,FP,TN,2357,none,2
237,False,FP,FP,FP,FP,2203,none,4
238,True,FN,TP,FP,TP,2157,none,2
239,True,TP,FN,TP,TP,2348,none,1
240,True,TP,FN,TP,TP,2088,none,1
241,True,FN,TP,TP,FN,2334,none,2
242,True,TP,TP,FN,FN,2393,none,2
243,False,TN,TN,TP,FP,2385,none,1
244,True,TP,TP,FP,FN,2481,none,2
245,False,FP,FP,TP,FP,2311,none,3
246,False,FP,TN,FP,TN,2254,none,2
248,False,TN,TN,FP,TN,2384,none,1
249,False,TN,TN,FP,TN,2225,none,1
250,False,TN,TN,FP,TN,2218,none,1
251,True,FN,FN,TN,TP,2346,none,2
253,False,TN,TN,FP,TN,2119,none,1
254,False,TN,TN,FP,TN,2327,none,1
255,False,TN,TN,FP,TN,2265,none,1
258,False,FP,TN,TN,FP,2195,none,2
259,False,TN,TN,FP,TN,2238,none,1
260,False,FP,TN,FP,FP,2196,none,3
261,False,FP,TN,FP,FP,2085,none,3
263,False,TN,TN,FP,TN,2238,none,1
264,False,TN,TN,FP,FP,2066,none,2
266,False,TN,TN,FP,TN,2196,none,1
267,False,TN,TN,FP,TN,2282,none,1
268,True,TP,FN,FP,TP,2346,none,2
270,False,TN,TN,FP,TN,2274,none,1
271,False,TN,TN,FP,TN,2200,none,1
272,True,TP,TP,FP,TP,2239,none,1
278,False,TN,TN,FP,TN,2323,none,1
279,False,TN,TN,FP,TN,2264,none,1
280,False,FP,TN,FP,FP,2331,none,3
281,False,TN,TN,FP,TN,2343,none,1
282,False,FP,TN,FP,TN,2238,none,2
283,False,FP,TN,FP,TN,2163,none,2
284,False,TN,TN,FP,TN,2268,none,1
287,False,TN,FP,TN,FP,2196,none,2
288,False,TN,TN,FP,TN,2338,none,1
289,False,TN,TN,FP,TN,2010,none,1
290,False,TN,TN,FP,TN,2271,none,1
292,False,FP,TN,FP,FP,2116,none,3
293,True,TP,FN,FP,TP,2292,none,2
295,False,TN,TN,FP,TN,2346,none,1
296,False,FP,TN,FP,FP,2150,none,3
297,False,TN,TN,FP,TN,2361,none,1
298,False,FP,TN,FP,TN,2265,none,2
299,False,TN,TN,FP,TN,2323,none,1
300,False,TN,TN,FP,TN,2071,none,1
301,False,TN,TN,FP,TN,2206,none,1
302,False,TN,TN,TN,FP,2265,none,1
304,False,TN,TN,TN,FP,2298,none,1
305,False,FP,TN,TN,TN,2264,none,1
306,False,TN,TN,FP,TN,2257,none,1
307,False,TN,TN,FP,TN,2276,none,1
308,False,TN,TN,FP,TN,2322,none,1
309,False,FP,TN,FP,TN,2213,none,2
310,False,FP,TN,FP,FP,2276,none,3
311,True,TP,TP,FP,TP,2352,none,1
314,False,FP,TN,TP,TN,2064,none,1
315,True,TP,TP,FP,TP,2240,none,1
316,False,FP,TN,TP,TN,2352,none,1
317,True,TP,TP,FP,TP,2370,none,1
318,False,FP,TN,TP,FP,2215,none,2
319,False,FP,TN,FP,TN,2298,none,2
320,False,TN,TN,FP,FP,2445,none,2
321,False,FP,TN,FP,TN,2289,none,2
322,True,TP,TP,FP,TP,2025,none,1
324,False,FP,TN,FP,TN,2273,none,2
325,False,TN,TN,FP,TN,2233,none,1
326,True,FN,FN,FP,TP,2233,none,3
327,False,FP,TN,TP,TN,2113,none,1
328,False,TN,TN,FP,TN,2129,none,1
329,False,TN,TN,FP,FP,2367,none,2
330,False,FP,TN,FP,TN,2231,none,2
332,False,TN,TN,TP,FP,2103,none,1
333,False,FP,TN,TN,TN,2263,none,1
334,False,TN,TN,FP,FP,2412,none,2
335,False,FP,TN,FP,FP,2227,none,3
336,False,FP,FP,FP,FP,2121,none,4
337,False,FP,TN,FP,FP,2245,none,3
338,False,FP,TN,FP,TN,2358,none,2
339,True,TP,TP,FP,TP,2273,none,1
341,True,TP,FN,TP,FN,2398,none,2
342,False,FP,TN,TP,FP,2232,none,2
343,False,FP,FP,FP,TN,2144,none,3
344,False,FP,TN,FP,FP,2317,none,3
348,False,TN,TN,TN,FP,2268,none,1
349,False,FP,TN,TN,TN,2213,none,1
350,False,FP,TN,FP,TN,2230,none,2
351,False,FP,TN,FP,FP,2364,none,3
352,True,TP,FN,FP,FN,2382,none,3
353,True,TP,FN,TP,FN,2481,none,2
354,False,FP,TN,TP,TN,2320,none,1
355,False,TN,TN,FP,TN,1942,none,1
356,True,TP,FN,TN,TP,2300,none,1
357,False,FP,TN,FN,TN,2352,none,2
358,True,TP,TP,TN,FN,2287,none,1
360,False,FP,TN,TP,TN,2290,none,1
361,False,TN,TN,FP,FP,2405,none,2
362,False,TN,TN,FP,TN,1886,none,1
363,False,FP,TN,FP,TN,2351,none,2
364,True,TP,TP,FP,TP,2162,none,1
365,False,TN,TN,TP,FP,2195,none,1
366,False,TN,TN,FP,TN,2362,none,1
367,True,FN,TP,FP,TP,2355,none,2
368,False,FP,TN,TP,TN,2409,none,1
369,True,FN,FN,FP,TP,2375,none,3
371,True,FN,TP,TP,TP,2169,none,1
372,False,FP,TN,TP,TN,2296,none,1
373,False,FP,FP,FP,FP,2311,none,4
374,True,TP,TP,FP,TP,2255,none,1
375,True,TP,FN,TP,TP,2287,none,1
378,True,TP,FN,TP,TP,2236,none,1
379,False,FP,TN,TP,FP,2391,none,2
380,True,TP,FN,FP,FN,2481,none,3
382,True,TP,TP,FP,TP,2256,none,1
383,True,TP,FN,TP,TP,2322,none,1
386,False,FP,TN,FP,TN,2433,none,2
387,False,FP,TN,FP,TN,2352,none,2
388,False,FP,TN,FP,FP,2275,none,3
389,True,TP,TP,FP,FN,2481,none,2
390,True,FN,TP,TP,TP,2395,none,1
392,False,FP,TN,FP,TN,2352,none,2
393,False,TN,TN,FP,TN,2404,none,1
394,False,FP,TN,TN,FP,2340,none,2
395,False,FP,FP,TN,FP,2398,none,3
396,False,TN,TN,TN,FP,2350,none,1
397,False,FP,FP,FP,FP,2346,none,4
398,False,FP,TN,FP,TN,2367,none,2
399,False,TN,TN,FP,FP,2395,none,2
400,False,TN,TN,FP,TN,2227,none,1
401,True,TP,TP,FP,TP,2245,none,1
403,True,FN,FN,FP,FN,2237,none,4
404,False,TN,TN,TP,FP,2299,none,1
405,False,FP,TN,FP,FP,2170,none,3
406,False,TN,TN,FP,TN,2240,none,1
407,False,TN,TN,FP,TN,2256,none,1
408,False,FP,TN,FP,TN,2229,none,2
409,True,FN,TP,FP,TP,2305,none,2
410,False,FP,TN,TP,TN,2413,none,1
411,True,TP,TP,FP,TP,2129,none,1
413,False,TN,TN,FP,TN,1955,none,1
414,True,TP,FN,FP,TP,2329,none,2
415,False,FP,TN,TP,TN,2369,none,1
416,False,TN,TN,FP,TN,2062,none,1
417,True,TP,TP,FP,FN,2204,none,2
418,True,TP,FN,TP,FN,2266,none,2
419,True,TP,FN,FN,TP,2317,none,2
421,True,FN,TP,FP,TP,2262,none,2
423,False,FP,TN,TP,FP,2360,none,2
424,False,TN,TN,FP,TN,2358,none,1
425,True,TP,FN,FP,FN,2283,none,3
426,False,TN,TN,TP,FP,2296,none,1
427,False,TN,TN,FP,TN,1866,none,1
428,False,FP,TN,TN,FP,2271,none,2
430,False,FP,TN,TN,TN,2318,none,1
431,False,TN,TN,FP,FP,2303,none,2
432,False,TN,TN,FP,TN,2178,none,1
433,False,FP,TN,TN,TN,2202,none,1
434,True,TP,FN,TN,FN,2465,none,2
435,False,FP,TN,TP,FP,2277,none,2
436,False,TN,TN,FP,TN,1940,none,1
437,False,FP,TN,FP,TN,2029,none,2
438,False,TN,TN,FP,TN,1969,none,1
439,False,FP,TN,FP,TN,2347,none,2
440,False,FP,TN,FP,TN,2249,none,2
441,False,TN,TN,FP,TN,2199,none,1
443,False,TN,TN,FP,TN,2238,none,1
444,False,TN,TN,FP,TN,2180,none,1
445,False,TN,TN,FP,TN,2217,none,1
446,False,FP,TN,FP,TN,2347,none,2
447,False,TN,TN,FP,TN,2131,none,1
448,False,FP,TN,TN,FP,2123,none,2
449,False,TN,TN,FP,TN,2249,none,1
450,False,FP,FP,FP,FP,2366,none,4
451,True,TP,TP,FP,TP,2400,none,1
452,False,FP,FP,TP,FP,2264,none,3
453,True,TP,TP,FP,TP,2386,none,1
455,True,TP,FN,FP,TP,2243,none,2
457,True,TP,FN,FP,TP,2154,none,2
459,False,FP,TN,FP,TN,2146,none,2
460,True,TP,FN,FP,FN,1912,none,3
462,True,FN,TP,FP,FN,2274,none,3
463,True,FN,FN,TP,TP,2380,none,2
465,False,FP,TN,TP,TN,2167,none,1
466,False,FP,TN,FP,TN,1974,none,2
467,False,FP,TN,FP,FP,2102,none,3
468,True,FN,TP,FP,TP,2350,none,2
469,False,FP,TN,TP,FP,2148,none,2
470,True,FN,FN,FP,TP,2216,none,3
472,False,TN,TN,FP,TN,2108,none,1
474,True,TP,FN,TN,TP,2078,none,1
476,True,TP,FN,FP,FN,2256,none,3
478,False,FP,TN,TP,FP,2343,none,2
480,True,FN,FN,FP,TP,2308,none,3
481,True,TP,FN,FN,TP,2097,none,2
482,False,TN,TN,FN,TN,2332,none,1
483,False,FP,TN,TN,FP,2340,none,2
484,True,FN,FN,TN,TP,2311,none,2
485,True,TP,FN,FN,FN,2437,none,3
486,True,TP,FN,FN,TP,2188,none,2
487,True,TP,TP,TP,FN,2341,none,1
489,False,TN,TN,FP,TN,2282,none,1
491,True,TP,FN,FN,TP,2375,none,2
493,False,FP,TN,FP,TN,2328,none,2
494,True,TP,FN,FP,TP,2436,none,2
496,False,FP,TN,TP,TN,2221,none,1
497,False,FP,TN,FP,TN,2152,none,2
498,False,TN,TN,FP,TN,2322,none,1
499,True,TP,TP,FP,FN,2481,none,2
