index,rating,gpt-3.5-turbo-0125,gpt-4o-2024-05-13,llama3:8b,llama3:70b,context_length,context_relevance
58,True,FN,TP,TP,FN,2248,none
59,True,TP,TP,TP,TP,2286,none
60,True,TP,TP,TP,TP,2352,none
61,True,TP,TP,TP,FN,1931,none
62,False,TN,TN,FP,TN,2096,none
63,False,TN,TN,FP,TN,2402,none
64,False,FP,TN,FP,TN,2380,none
65,True,FN,FN,TP,TP,2395,none
66,False,FP,FP,FP,FP,2443,none
67,True,TP,TP,TP,FN,2481,none
68,True,TP,TP,TP,TP,2273,none
69,False,FP,FP,FP,FP,2385,none
70,True,TP,TP,TP,TP,2341,none
71,True,TP,TP,TP,TP,2400,none
72,False,TN,TN,FP,TN,2436,none
73,False,FP,TN,FP,FP,2411,none
74,True,TP,FN,TP,TP,2437,none
75,True,TP,TP,TP,TP,2281,none
76,False,TN,FP,FP,FP,2392,none
77,False,FP,TN,FP,FP,2239,none
78,False,FP,TN,FP,FP,2288,none
79,False,FP,TN,FP,TN,2395,none
80,False,FP,TN,TN,FP,2297,none
81,True,TP,TP,FN,FN,2335,none
82,False,FP,TN,TN,TN,2143,none
83,True,TP,TP,FN,TP,2217,none
84,True,TP,TP,FN,TP,2384,none
85,False,TN,TN,TN,FP,2212,none
86,True,TP,FN,FN,FN,2481,none
87,False,FP,TN,FP,FP,2297,none
88,True,TP,TP,TP,TP,2351,none
89,True,TP,FN,TP,FN,2479,none
90,False,FP,TN,FP,TN,2277,none
91,True,TP,TP,TP,TP,2376,none
92,False,TN,TN,FP,FP,2084,none
93,False,TN,TN,FP,FP,2395,none
94,True,TP,TP,TP,TP,2201,none
95,False,TN,TN,FP,FP,2258,none
96,True,TP,TP,FN,TP,2380,none
97,False,FP,TN,TN,FP,2450,none
98,True,TP,FN,FN,FN,2437,none
99,True,TP,FN,TP,FN,2266,none
100,False,TN,FP,FP,FP,2176,none
101,True,TP,TP,TP,TP,2242,none
102,True,TP,TP,TP,TP,2405,none
103,True,TP,TP,TP,TP,2286,none
104,True,TP,TP,TP,TP,2228,none
105,True,TP,TP,TP,TP,2293,none
106,True,TP,TP,TP,TP,2307,none
107,False,FP,TN,FP,TN,2421,none
108,False,TN,TN,TN,TN,2206,none
109,False,TN,FP,FP,FP,2222,none
110,False,TN,TN,FP,TN,2055,none
111,False,TN,TN,FP,TN,1941,none
112,True,TP,TP,TP,TP,2271,none
113,False,TN,TN,FP,TN,2154,none
114,True,TP,TP,TP,FN,2019,none
115,True,TP,FN,TP,TP,2348,none
116,False,TN,TN,FP,FP,2294,none
117,False,TN,TN,FP,TN,2340,none
118,True,FN,TP,TP,TP,2286,none
119,False,TN,TN,FP,FP,2217,none
120,False,TN,TN,FP,TN,2384,none
121,False,TN,TN,FP,TN,2200,none
122,False,TN,TN,FP,TN,2247,none
123,True,TP,FN,TP,TP,2385,none
124,False,FP,TN,FP,TN,2010,none
125,True,TP,FN,TP,FN,2447,none
126,True,TP,TP,TP,TP,2387,none
127,False,TN,TN,FP,TN,2226,none
128,True,TP,TP,TP,TP,2286,none
129,False,FP,TN,FP,TN,2444,none
130,True,TP,TP,TP,TP,2354,none
131,True,TP,TP,TP,TP,2405,none
132,True,TP,FN,TP,TP,2244,none
133,True,TP,TP,TP,TP,2286,none
134,False,TN,TN,FP,TN,2255,none
135,False,TN,FP,FP,FP,2333,none
136,True,TP,FN,TP,TP,2239,none
137,True,FN,FN,FN,FN,2400,none
138,True,TP,TP,FN,FN,2227,none
139,False,FP,TN,TN,FP,2371,none
140,False,FP,TN,FP,FP,2255,none
141,True,FN,FN,TP,FN,2375,none
142,True,TP,TP,TP,TP,2413,none
143,False,FP,TN,FP,FP,2232,none
144,True,FN,TP,TP,TP,2396,none
145,True,TP,TP,TP,TP,2371,none
146,True,TP,TP,TP,TP,2223,none
147,False,FP,TN,FP,FP,2324,none
148,False,TN,TN,FP,FP,2301,none
149,True,TP,TP,TP,TP,2309,none
150,TRUE,FN,FN,TP,TP,2365,none
151,TRUE,TP,FN,TP,FN,2437,none
152,TRUE,FN,FN,TP,TP,2398,none
153,FALSE,FP,TN,FP,TN,2259,none
154,FALSE,TN,FP,FP,FP,2283,none
156,FALSE,TN,TN,FP,TN,2304,none
157,TRUE,TP,TP,TP,FN,2326,none
158,TRUE,TP,TP,TP,TP,2397,none
160,TRUE,TP,TP,FP,TP,2119,none
161,TRUE,TP,TP,TP,TP,2299,none
162,FALSE,FP,FP,TP,FP,2244,none
163,TRUE,FN,TP,FP,TP,2139,none
164,TRUE,TP,TP,TP,TP,2362,none
165,TRUE,TP,FN,TP,TP,2428,none
166,FALSE,FP,FP,TP,TN,2275,none
167,FALSE,FP,TN,FP,FP,2203,none
168,TRUE,TP,TP,FP,TP,2289,none
169,FALSE,TN,TN,TP,TN,2361,none
170,TRUE,TP,FN,FP,TP,2207,none
171,TRUE,TP,FN,TP,FN,2481,none
172,FALSE,FP,FP,TP,FP,2383,none
173,TRUE,TP,FN,FP,TP,2428,none
175,FALSE,TN,TN,TP,FP,2139,none
176,TRUE,TP,FN,FP,FN,2356,none
177,FALSE,FP,TN,TP,TN,2213,none
178,TRUE,TP,TP,FP,FN,2427,none
179,TRUE,TP,TP,TP,FN,2283,none
180,TRUE,TP,FN,TP,TP,2397,none
181,TRUE,TP,TP,FN,TP,2289,none
182,TRUE,TP,TP,FN,TP,2427,none
183,FALSE,FP,TN,FN,TN,2264,none
184,TRUE,TP,TP,FP,FN,2364,none
185,TRUE,TP,FN,TP,TP,2291,none
186,TRUE,TP,TP,TP,TP,2330,none
187,TRUE,TP,TP,TP,TP,2294,none
188,FALSE,TN,TN,TP,FP,2168,none
189,FALSE,FP,FP,FP,FP,2202,none
190,FALSE,FP,TN,FP,TN,2336,none
191,TRUE,TP,TP,FP,FN,2295,none
192,TRUE,FN,TP,TP,FN,2094,none
193,FALSE,FP,FP,TP,FP,2260,none
194,TRUE,FN,TP,FP,TP,2315,none
195,FALSE,TN,TN,TP,FP,2274,none
196,TRUE,TP,FN,FP,TP,2401,none
197,FALSE,FP,TN,TP,FP,2224,none
198,FALSE,TN,TN,FP,TN,2292,none
199,TRUE,TP,TP,FP,TP,2313,none
200,FALSE,FP,TN,TP,FP,2390,none
201,FALSE,FP,TN,FP,TN,2184,none
202,TRUE,TP,TP,FP,TP,2173,none
203,FALSE,FP,TN,TP,TN,2303,none
204,FALSE,TN,FP,FP,FP,2255,none
205,FALSE,FP,FP,FP,FP,2056,none
206,FALSE,TN,TN,TN,TN,2224,none
207,FALSE,FP,TN,FP,TN,2227,none
208,FALSE,TN,FP,FP,FP,2361,none
210,FALSE,TN,TN,FP,TN,2170,none
211,TRUE,TP,FN,FP,TP,2138,none
212,FALSE,TN,TN,TP,TN,2222,none
213,FALSE,TN,TN,FP,TN,2287,none
214,TRUE,TP,FN,FP,FN,2215,none
215,FALSE,TN,TN,TP,TN,2273,none
216,TRUE,TP,TP,FP,TP,2437,none
217,FALSE,FP,TN,TP,TN,2232,none
218,FALSE,FP,TN,FP,TN,2366,none
219,TRUE,TP,TP,FP,TP,2374,none
221,FALSE,TN,TN,TP,TN,2330,none
222,FALSE,FP,TN,FP,FP,2355,none
223,TRUE,TP,TP,FP,TP,2386,none
224,FALSE,FP,TN,TP,FP,2395,none
225,FALSE,TN,TN,FP,FP,2176,none
226,FALSE,TN,FP,FP,FP,2361,none
227,FALSE,FP,TN,FP,FP,2227,none
228,FALSE,TN,TN,FP,FP,2272,none
229,FALSE,TN,TN,FP,FP,2304,none
230,TRUE,TP,TP,FP,TP,2328,none
232,FALSE,FP,FP,TP,FP,1907,none
233,FALSE,FP,TN,FP,FP,2085,none
234,TRUE,TP,TP,FP,TP,2162,none
235,FALSE,TN,TN,TP,TN,2186,none
236,FALSE,FP,TN,FP,TN,2357,none
237,FALSE,FP,FP,FP,FP,2203,none
238,TRUE,FN,TP,FP,TP,2157,none
239,TRUE,TP,FN,TP,TP,2348,none
240,TRUE,TP,FN,TP,TP,2088,none
241,TRUE,FN,TP,TP,FN,2334,none
242,TRUE,TP,TP,FN,FN,2393,none
243,FALSE,TN,TN,TP,FP,2385,none
244,TRUE,TP,TP,FP,FN,2481,none
245,FALSE,FP,FP,TP,FP,2311,none
246,FALSE,FP,TN,FP,TN,2254,none
248,FALSE,TN,TN,FP,TN,2384,none
249,FALSE,TN,TN,FP,TN,2225,none
250,FALSE,TN,TN,FP,TN,2218,none
251,TRUE,FN,FN,TN,TP,2346,none
252,FALSE,TN,TN,TP,TN,2041,none
253,FALSE,TN,TN,FP,TN,2119,none
254,FALSE,TN,TN,FP,TN,2327,none
255,FALSE,TN,TN,FP,TN,2265,none
256,FALSE,TN,TN,TN,TN,2198,none
257,FALSE,TN,TN,TN,TN,2355,none
258,FALSE,FP,TN,TN,FP,2195,none
259,FALSE,TN,TN,FP,TN,2238,none
260,FALSE,FP,TN,FP,FP,2196,none
261,FALSE,FP,TN,FP,FP,2085,none
263,FALSE,TN,TN,FP,TN,2238,none
264,FALSE,TN,TN,FP,FP,2066,none
266,FALSE,TN,TN,FP,TN,2196,none
267,FALSE,TN,TN,FP,TN,2282,none
268,TRUE,TP,FN,FP,TP,2346,none
269,FALSE,TN,TN,TP,TN,2339,none
270,FALSE,TN,TN,FP,TN,2274,none
271,FALSE,TN,TN,FP,TN,2200,none
272,TRUE,TP,TP,FP,TP,2239,none
273,FALSE,TN,TN,TP,TN,2246,none
277,FALSE,TN,TN,TN,TN,2323,none
278,FALSE,TN,TN,FP,TN,2323,none
279,FALSE,TN,TN,FP,TN,2264,none
280,FALSE,FP,TN,FP,FP,2331,none
281,FALSE,TN,TN,FP,TN,2343,none
282,FALSE,FP,TN,FP,TN,2238,none
283,FALSE,FP,TN,FP,TN,2163,none
284,FALSE,TN,TN,FP,TN,2268,none
285,FALSE,TN,TN,TN,TN,2374,none
287,FALSE,TN,FP,TN,FP,2196,none
288,FALSE,TN,TN,FP,TN,2338,none
289,FALSE,TN,TN,FP,TN,2010,none
290,FALSE,TN,TN,FP,TN,2271,none
292,FALSE,FP,TN,FP,FP,2116,none
293,TRUE,TP,FN,FP,TP,2292,none
294,FALSE,TN,TN,TP,TN,2336,none
295,FALSE,TN,TN,FP,TN,2346,none
296,FALSE,FP,TN,FP,FP,2150,none
297,FALSE,TN,TN,FP,TN,2361,none
298,FALSE,FP,TN,FP,TN,2265,none
299,FALSE,TN,TN,FP,TN,2323,none
300,FALSE,TN,TN,FP,TN,2071,none
301,FALSE,TN,TN,FP,TN,2206,none
302,FALSE,TN,TN,TN,FP,2265,none
304,FALSE,TN,TN,TN,FP,2298,none
305,FALSE,FP,TN,TN,TN,2264,none
306,FALSE,TN,TN,FP,TN,2257,none
307,FALSE,TN,TN,FP,TN,2276,none
308,FALSE,TN,TN,FP,TN,2322,none
309,FALSE,FP,TN,FP,TN,2213,none
310,FALSE,FP,TN,FP,FP,2276,none
311,TRUE,TP,TP,FP,TP,2352,none
312,TRUE,TP,TP,TP,TP,2331,none
313,TRUE,TP,TP,TP,TP,2226,none
314,FALSE,FP,TN,TP,TN,2064,none
315,TRUE,TP,TP,FP,TP,2240,none
316,FALSE,FP,TN,TP,TN,2352,none
317,TRUE,TP,TP,FP,TP,2370,none
318,FALSE,FP,TN,TP,FP,2215,none
319,FALSE,FP,TN,FP,TN,2298,none
320,FALSE,TN,TN,FP,FP,2445,none
321,FALSE,FP,TN,FP,TN,2289,none
322,TRUE,TP,TP,FP,TP,2025,none
323,FALSE,TN,TN,TP,TN,2206,none
324,FALSE,FP,TN,FP,TN,2273,none
325,FALSE,TN,TN,FP,TN,2233,none
326,TRUE,FN,FN,FP,TP,2233,none
327,FALSE,FP,TN,TP,TN,2113,none
328,FALSE,TN,TN,FP,TN,2129,none
329,FALSE,TN,TN,FP,FP,2367,none
330,FALSE,FP,TN,FP,TN,2231,none
331,TRUE,TP,TP,TN,TP,2171,none
332,FALSE,TN,TN,TP,FP,2103,none
333,FALSE,FP,TN,TN,TN,2263,none
334,FALSE,TN,TN,FP,FP,2412,none
335,FALSE,FP,TN,FP,FP,2227,none
336,FALSE,FP,FP,FP,FP,2121,none
337,FALSE,FP,TN,FP,FP,2245,none
338,FALSE,FP,TN,FP,TN,2358,none
339,TRUE,TP,TP,FP,TP,2273,none
340,TRUE,TP,TP,TP,TP,2397,none
341,TRUE,TP,FN,TP,FN,2398,none
342,FALSE,FP,TN,TP,FP,2232,none
343,FALSE,FP,FP,FP,TN,2144,none
344,FALSE,FP,TN,FP,FP,2317,none
345,TRUE,TP,TP,TN,TP,2235,none
346,TRUE,TP,TP,TP,TP,2089,none
347,FALSE,TN,TN,TP,TN,2196,none
348,FALSE,TN,TN,TN,FP,2268,none
349,FALSE,FP,TN,TN,TN,2213,none
350,False,FP,TN,FP,TN,2230,none
351,False,FP,TN,FP,FP,2364,none
352,True,TP,FN,FP,FN,2382,none
353,True,TP,FN,TP,FN,2481,none
354,False,FP,TN,TP,TN,2320,none
355,False,TN,TN,FP,TN,1942,none
356,True,TP,FN,TN,TP,2300,none
357,False,FP,TN,FN,TN,2352,none
358,True,TP,TP,TN,FN,2287,none
359,True,TP,TP,TP,TP,2346,none
360,False,FP,TN,TP,TN,2290,none
361,False,TN,TN,FP,FP,2405,none
362,False,TN,TN,FP,TN,1886,none
363,False,FP,TN,FP,TN,2351,none
364,True,TP,TP,FP,TP,2162,none
365,False,TN,TN,TP,FP,2195,none
366,False,TN,TN,FP,TN,2362,none
367,True,FN,TP,FP,TP,2355,none
368,False,FP,TN,TP,TN,2409,none
369,True,FN,FN,FP,TP,2375,none
370,True,TP,TP,TP,TP,2323,none
371,True,FN,TP,TP,TP,2169,none
372,False,FP,TN,TP,TN,2296,none
373,False,FP,FP,FP,FP,2311,none
374,True,TP,TP,FP,TP,2255,none
375,True,TP,FN,TP,TP,2287,none
376,True,TP,TP,TP,TP,2215,none
377,True,TP,TP,TP,TP,2237,none
378,True,TP,FN,TP,TP,2236,none
379,False,FP,TN,TP,FP,2391,none
380,True,TP,FN,FP,FN,2481,none
381,False,TN,TN,TP,TN,1919,none
382,True,TP,TP,FP,TP,2256,none
383,True,TP,FN,TP,TP,2322,none
384,True,TP,TP,TP,TP,2198,none
385,False,TN,TN,TP,TN,2075,none
386,False,FP,TN,FP,TN,2433,none
387,False,FP,TN,FP,TN,2352,none
388,False,FP,TN,FP,FP,2275,none
389,True,TP,TP,FP,FN,2481,none
390,True,FN,TP,TP,TP,2395,none
391,False,TN,TN,TP,TN,2423,none
392,False,FP,TN,FP,TN,2352,none
393,False,TN,TN,FP,TN,2404,none
394,False,FP,TN,TN,FP,2340,none
395,False,FP,FP,TN,FP,2398,none
396,False,TN,TN,TN,FP,2350,none
397,False,FP,FP,FP,FP,2346,none
398,False,FP,TN,FP,TN,2367,none
399,False,TN,TN,FP,FP,2395,none
400,False,TN,TN,FP,TN,2227,none
401,True,TP,TP,FP,TP,2245,none
402,False,TN,TN,TP,TN,2073,none
403,True,FN,FN,FP,FN,2237,none
404,False,TN,TN,TP,FP,2299,none
405,False,FP,TN,FP,FP,2170,none
406,False,TN,TN,FP,TN,2240,none
407,False,TN,TN,FP,TN,2256,none
408,False,FP,TN,FP,TN,2229,none
409,True,FN,TP,FP,TP,2305,none
410,False,FP,TN,TP,TN,2413,none
411,True,TP,TP,FP,TP,2129,none
412,False,TN,TN,TP,TN,2249,none
413,False,TN,TN,FP,TN,1955,none
414,True,TP,FN,FP,TP,2329,none
415,False,FP,TN,TP,TN,2369,none
416,False,TN,TN,FP,TN,2062,none
417,True,TP,TP,FP,FN,2204,none
418,True,TP,FN,TP,FN,2266,none
419,True,TP,FN,FN,TP,2317,none
420,False,TN,TN,TP,TN,2326,none
421,True,FN,TP,FP,TP,2262,none
422,True,TP,TP,TP,TP,2407,none
423,False,FP,TN,TP,FP,2360,none
424,False,TN,TN,FP,TN,2358,none
425,True,TP,FN,FP,FN,2283,none
426,False,TN,TN,TP,FP,2296,none
427,False,TN,TN,FP,TN,1866,none
428,False,FP,TN,TN,FP,2271,none
429,False,TN,TN,TN,TN,2333,none
430,False,FP,TN,TN,TN,2318,none
431,False,TN,TN,FP,FP,2303,none
432,False,TN,TN,FP,TN,2178,none
433,False,FP,TN,TN,TN,2202,none
434,True,TP,FN,TN,FN,2465,none
435,False,FP,TN,TP,FP,2277,none
436,False,TN,TN,FP,TN,1940,none
437,False,FP,TN,FP,TN,2029,none
438,False,TN,TN,FP,TN,1969,none
439,False,FP,TN,FP,TN,2347,none
440,False,FP,TN,FP,TN,2249,none
441,False,TN,TN,FP,TN,2199,none
442,False,TN,TN,TN,TN,1869,none
443,False,TN,TN,FP,TN,2238,none
444,False,TN,TN,FP,TN,2180,none
445,False,TN,TN,FP,TN,2217,none
446,False,FP,TN,FP,TN,2347,none
447,False,TN,TN,FP,TN,2131,none
448,False,FP,TN,TN,FP,2123,none
449,False,TN,TN,FP,TN,2249,none
450,FALSE,FP,FP,FP,FP,2366,none
451,TRUE,TP,TP,FP,TP,2400,none
452,FALSE,FP,FP,TP,FP,2264,none
453,TRUE,TP,TP,FP,TP,2386,none
454,FALSE,TN,TN,TP,TN,2386,none
455,TRUE,TP,FN,FP,TP,2243,none
456,FALSE,TN,TN,TP,TN,2305,none
457,TRUE,TP,FN,FP,TP,2154,none
458,FALSE,TN,TN,TP,TN,2375,none
459,FALSE,FP,TN,FP,TN,2146,none
460,TRUE,TP,FN,FP,FN,1912,none
461,FALSE,TN,TN,TP,TN,2261,none
462,TRUE,FN,TP,FP,FN,2274,none
463,TRUE,FN,FN,TP,TP,2380,none
465,FALSE,FP,TN,TP,TN,2167,none
466,FALSE,FP,TN,FP,TN,1974,none
467,FALSE,FP,TN,FP,FP,2102,none
468,TRUE,FN,TP,FP,TP,2350,none
469,FALSE,FP,TN,TP,FP,2148,none
470,TRUE,FN,FN,FP,TP,2216,none
471,FALSE,TN,TN,TP,TN,2261,none
472,FALSE,TN,TN,FP,TN,2108,none
473,FALSE,TN,TN,TN,TN,2406,none
474,TRUE,TP,FN,TN,TP,2078,none
475,FALSE,TN,TN,TP,TN,2270,none
476,TRUE,TP,FN,FP,FN,2256,none
478,FALSE,FP,TN,TP,FP,2343,none
480,TRUE,FN,FN,FP,TP,2308,none
481,TRUE,TP,FN,FN,TP,2097,none
482,FALSE,TN,TN,FN,TN,2332,none
483,FALSE,FP,TN,TN,FP,2340,none
484,TRUE,FN,FN,TN,TP,2311,none
485,TRUE,TP,FN,FN,FN,2437,none
486,TRUE,TP,FN,FN,TP,2188,none
487,TRUE,TP,TP,TP,FN,2341,none
488,FALSE,TN,TN,TP,TN,2428,none
489,FALSE,TN,TN,FP,TN,2282,none
490,TRUE,TP,TP,TN,TP,2216,none
491,TRUE,TP,FN,FN,TP,2375,none
492,FALSE,TN,TN,TP,TN,2224,none
493,FALSE,FP,TN,FP,TN,2328,none
494,TRUE,TP,FN,FP,TP,2436,none
495,TRUE,TP,TP,TP,TP,2174,none
496,FALSE,FP,TN,TP,TN,2221,none
497,FALSE,FP,TN,FP,TN,2152,none
498,FALSE,TN,TN,FP,TN,2322,none
499,TRUE,TP,TP,FP,FN,2481,none
