dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology
value-equality,Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::dependencies::::dependency_ace-api::::groupId::::com.github.wxiaoqi <-> Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::parent_ace-modules::::groupId::::com.github.wxiaoqi,Spring-Cloud-Platform,project.dependencies.dependency_ace-api.groupId,com.github.wxiaoqi,ConfigType.NAME,ace-modules/ace-sample/pom.xml,maven,project.parent_ace-modules.groupId,com.github.wxiaoqi,ConfigType.NAME,ace-modules/ace-sample/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-gate/pom.xml::::project::::dependencies::::dependency_ace-api::::version::::ace-api:2.0-SNAPSHOT <-> Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_ace-api::::version::::ace-api:2.0-SNAPSHOT,Spring-Cloud-Platform,project.dependencies.dependency_ace-api.version,ace-api:2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,ace-gate/pom.xml,maven,project.dependencies.dependency_ace-api.version,ace-api:2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::ribbon.MaxAutoRetriesNextServer::::1 <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::ribbon.MaxAutoRetriesNextServer::::1,Spring-Cloud-Platform,ribbon.MaxAutoRetriesNextServer,1,ConfigType.NUMBER,ace-modules/ace-generator/src/main/resources/application.yml,spring,ribbon.MaxAutoRetriesNextServer,1,ConfigType.NUMBER,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.poolPreparedStatements::::True <-> Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.testWhileIdle::::True,Spring-Cloud-Platform,spring.datasource.poolPreparedStatements,TRUE,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring,spring.datasource.testWhileIdle,TRUE,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_spring-cloud-sleuth-zipkin::::groupId::::org.springframework.cloud <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-alibaba-nacos-discovery::::exclusions::::exclusion_spring-cloud-starter-netflix-ribbon::::groupId::::org.springframework.cloud,Spring-Cloud-Platform,project.dependencies.dependency_spring-cloud-sleuth-zipkin.groupId,org.springframework.cloud,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter-alibaba-nacos-discovery.exclusions.exclusion_spring-cloud-starter-netflix-ribbon.groupId,org.springframework.cloud,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_ace-common::::groupId::::com.github.wxiaoqi <-> Spring-Cloud-Platform::::pom.xml::::project::::groupId::::com.github.wxiaoqi,Spring-Cloud-Platform,project.dependencies.dependency_ace-common.groupId,com.github.wxiaoqi,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,project.groupId,com.github.wxiaoqi,ConfigType.NAME,pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-tool/pom.xml::::project::::dependencies::::dependency_lucene-highlighter::::groupId::::org.apache.lucene <-> Spring-Cloud-Platform::::ace-modules/ace-tool/pom.xml::::project::::dependencies::::dependency_lucene-queryparser::::groupId::::org.apache.lucene,Spring-Cloud-Platform,project.dependencies.dependency_lucene-highlighter.groupId,org.apache.lucene,ConfigType.NAME,ace-modules/ace-tool/pom.xml,maven,project.dependencies.dependency_lucene-queryparser.groupId,org.apache.lucene,ConfigType.NAME,ace-modules/ace-tool/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-dev-base/ace-common/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::artifactId::::maven-compiler-plugin <-> Spring-Cloud-Platform::::ace-gate/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::artifactId::::maven-compiler-plugin,Spring-Cloud-Platform,project.build.plugins.plugin_maven-compiler-plugin.artifactId,maven-compiler-plugin,ConfigType.NAME,ace-dev-base/ace-common/pom.xml,maven,project.build.plugins.plugin_maven-compiler-plugin.artifactId,maven-compiler-plugin,ConfigType.NAME,ace-gate/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::management.security.enabled::::True <-> Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::feign.compression.request.enabled::::True,Spring-Cloud-Platform,management.security.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-admin/src/main/resources/application.yml,spring,feign.compression.request.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-generator/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.maxOpenPreparedStatements::::20 <-> Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.redis.jedis.pool.max-active::::20,Spring-Cloud-Platform,spring.datasource.maxOpenPreparedStatements,20,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring,spring.redis.jedis.pool.max-active,20,ConfigType.NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::swagger.enabled::::True <-> Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::feign.compression.response.enabled::::True,Spring-Cloud-Platform,swagger.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-admin/src/main/resources/application.yml,spring,feign.compression.response.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-generator/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-gate/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-openfeign::::artifactId::::spring-cloud-starter-openfeign <-> Spring-Cloud-Platform::::ace-modules/ace-tool/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-openfeign::::artifactId::::spring-cloud-starter-openfeign,Spring-Cloud-Platform,project.dependencies.dependency_spring-cloud-starter-openfeign.artifactId,spring-cloud-starter-openfeign,ConfigType.NAME,ace-gate/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter-openfeign.artifactId,spring-cloud-starter-openfeign,ConfigType.NAME,ace-modules/ace-tool/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::artifactId::::ace-generator <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::build::::finalName::::ace-generator,Spring-Cloud-Platform,project.artifactId,ace-generator,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven,project.build.finalName,ace-generator,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-jdbc::::artifactId::::spring-boot-starter-jdbc <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-jdbc::::artifactId::::spring-boot-starter-jdbc,Spring-Cloud-Platform,project.dependencies.dependency_spring-boot-starter-jdbc.artifactId,spring-boot-starter-jdbc,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-jdbc.artifactId,spring-boot-starter-jdbc,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::spring.sample-datasource.url::::jdbc:mysql://${MYSQL_HOST:localhost}:${MYSQL_PORT:3306}/cloud_sample?useUnicode=true&characterEncoding=UTF8 <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::spring.datasource.url::::jdbc:mysql://${MYSQL_HOST:localhost}:${MYSQL_PORT:3306}/cloud_sample?useUnicode=true&characterEncoding=UTF8,Spring-Cloud-Platform,spring.sample-datasource.url,jdbc:mysql://${MYSQL_HOST:localhost}:${MYSQL_PORT:3306}/cloud_sample?useUnicode=true&characterEncoding=UTF8,ConfigType.URL,ace-modules/ace-generator/src/main/resources/application.yml,spring,spring.datasource.url,jdbc:mysql://${MYSQL_HOST:localhost}:${MYSQL_PORT:3306}/cloud_sample?useUnicode=true&characterEncoding=UTF8,ConfigType.URL,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::management.endpoints.web.exposure.include::::* <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::management.endpoints.web.exposure.include::::*,Spring-Cloud-Platform,management.endpoints.web.exposure.include,*,ConfigType.UNKNOWN,ace-modules/ace-admin/src/main/resources/application.yml,spring,management.endpoints.web.exposure.include,*,ConfigType.UNKNOWN,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::spring.redis.jedis.pool.max-active::::20 <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::spring.redis.jedis.pool.max-active::::20,Spring-Cloud-Platform,spring.redis.jedis.pool.max-active,20,ConfigType.NUMBER,ace-modules/ace-generator/src/main/resources/application.yml,spring,spring.redis.jedis.pool.max-active,20,ConfigType.NUMBER,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-gate/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::target::::target:1.8 <-> Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::build::::plugins::::plugin_maven-compiler-plugin::::configuration::::target::::target:1.8,Spring-Cloud-Platform,project.build.plugins.plugin_maven-compiler-plugin.configuration.target,target:1.8,ConfigType.VERSION_NUMBER,ace-gate/pom.xml,maven,project.build.plugins.plugin_maven-compiler-plugin.configuration.target,target:1.8,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-dev-base/ace-common/pom.xml::::project::::dependencies::::dependency_javax.servlet-api::::groupId::::javax.servlet <-> Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::dependencies::::dependency_javax.servlet-api::::groupId::::javax.servlet,Spring-Cloud-Platform,project.dependencies.dependency_javax.servlet-api.groupId,javax.servlet,ConfigType.NAME,ace-dev-base/ace-common/pom.xml,maven,project.dependencies.dependency_javax.servlet-api.groupId,javax.servlet,ConfigType.NAME,ace-modules/ace-sample/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.maxWait::::60000 <-> Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::ribbon.ConnectTimeout::::60000,Spring-Cloud-Platform,spring.datasource.maxWait,60000,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring,ribbon.ConnectTimeout,60000,ConfigType.NUMBER,ace-modules/ace-generator/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::hystrix.threadpool.default.coreSize::::1000 <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::hystrix.threadpool.default.coreSize::::1000,Spring-Cloud-Platform,hystrix.threadpool.default.coreSize,1000,ConfigType.NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring,hystrix.threadpool.default.coreSize,1000,ConfigType.NUMBER,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-gate/pom.xml::::project::::properties::::java.version::::1.8 <-> Spring-Cloud-Platform::::pom.xml::::project::::properties::::maven.compile.source::::1.8,Spring-Cloud-Platform,project.properties.java.version,1.8,ConfigType.VERSION_NUMBER,ace-gate/pom.xml,maven,project.properties.maven.compile.source,1.8,ConfigType.VERSION_NUMBER,pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-infrastructure/ace-monitor/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,Spring-Cloud-Platform,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,ace-infrastructure/ace-monitor/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_spring-webmvc::::artifactId::::spring-webmvc <-> Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::dependencies::::dependency_spring-webmvc::::artifactId::::spring-webmvc,Spring-Cloud-Platform,project.dependencies.dependency_spring-webmvc.artifactId,spring-webmvc,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven,project.dependencies.dependency_spring-webmvc.artifactId,spring-webmvc,ConfigType.NAME,ace-modules/ace-sample/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-dev-base/ace-auth-sdk/pom.xml::::project::::dependencies::::dependency_ace-common::::artifactId::::ace-common <-> Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::dependencies::::dependency_ace-common::::artifactId::::ace-common,Spring-Cloud-Platform,project.dependencies.dependency_ace-common.artifactId,ace-common,ConfigType.NAME,ace-dev-base/ace-auth-sdk/pom.xml,maven,project.dependencies.dependency_ace-common.artifactId,ace-common,ConfigType.NAME,ace-modules/ace-sample/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::feign.okhttp.enabled::::True <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::spring.sleuth.http.legacy.enabled::::True,Spring-Cloud-Platform,feign.okhttp.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-generator/src/main/resources/application.yml,spring,spring.sleuth.http.legacy.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.timeBetweenEvictionRunsMillis::::60000 <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::ribbon.ReadTimeout::::60000,Spring-Cloud-Platform,spring.datasource.timeBetweenEvictionRunsMillis,60000,ConfigType.TIME,ace-modules/ace-admin/src/main/resources/application.yml,spring,ribbon.ReadTimeout,60000,ConfigType.NUMBER,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-api/pom.xml::::project::::artifactId::::ace-api <-> Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_ace-api::::artifactId::::ace-api,Spring-Cloud-Platform,project.artifactId,ace-api,ConfigType.NAME,ace-api/pom.xml,maven,project.dependencies.dependency_ace-api.artifactId,ace-api,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_javax.servlet-api::::version::::javax.servlet-api:3.1.0 <-> Spring-Cloud-Platform::::ace-modules/ace-sample/pom.xml::::project::::dependencies::::dependency_javax.servlet-api::::version::::javax.servlet-api:3.1.0,Spring-Cloud-Platform,project.dependencies.dependency_javax.servlet-api.version,javax.servlet-api:3.1.0,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/pom.xml,maven,project.dependencies.dependency_javax.servlet-api.version,javax.servlet-api:3.1.0,ConfigType.VERSION_NUMBER,ace-modules/ace-sample/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::logging.level.org.springframework::::DEBUG <-> Spring-Cloud-Platform::::ace-modules/ace-tool/src/main/resources/application.yml::::logging.level.com.github.wxiaoqi::::DEBUG,Spring-Cloud-Platform,logging.level.org.springframework,DEBUG,ConfigType.UNKNOWN,ace-modules/ace-generator/src/main/resources/application.yml,spring,logging.level.com.github.wxiaoqi,DEBUG,ConfigType.UNKNOWN,ace-modules/ace-tool/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::feign.httpclient.enabled::::False <-> Spring-Cloud-Platform::::ace-modules/ace-sample/src/main/resources/application.yml::::feign.httpclient.enabled::::False,Spring-Cloud-Platform,feign.httpclient.enabled,FALSE,ConfigType.BOOLEAN,ace-modules/ace-admin/src/main/resources/application.yml,spring,feign.httpclient.enabled,FALSE,ConfigType.BOOLEAN,ace-modules/ace-sample/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-dev-base/ace-common/pom.xml::::project::::dependencies::::dependency_commons-lang3::::groupId::::org.apache.commons <-> Spring-Cloud-Platform::::ace-modules/ace-admin/pom.xml::::project::::dependencies::::dependency_commons-lang3::::groupId::::org.apache.commons,Spring-Cloud-Platform,project.dependencies.dependency_commons-lang3.groupId,org.apache.commons,ConfigType.NAME,ace-dev-base/ace-common/pom.xml,maven,project.dependencies.dependency_commons-lang3.groupId,org.apache.commons,ConfigType.NAME,ace-modules/ace-admin/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-api/pom.xml::::project::::parent_ace-security::::artifactId::::ace-security <-> Spring-Cloud-Platform::::ace-modules/ace-nlp/pom.xml::::project::::parent_ace-security::::artifactId::::ace-security,Spring-Cloud-Platform,project.parent_ace-security.artifactId,ace-security,ConfigType.NAME,ace-api/pom.xml,maven,project.parent_ace-security.artifactId,ace-security,ConfigType.NAME,ace-modules/ace-nlp/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-dev-base/ace-auth-sdk/pom.xml::::project::::dependencies::::dependency_spring-cloud-openfeign-core::::groupId::::org.springframework.cloud <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::dependencies::::dependency_spring-cloud-starter-openfeign::::groupId::::org.springframework.cloud,Spring-Cloud-Platform,project.dependencies.dependency_spring-cloud-openfeign-core.groupId,org.springframework.cloud,ConfigType.NAME,ace-dev-base/ace-auth-sdk/pom.xml,maven,project.dependencies.dependency_spring-cloud-starter-openfeign.groupId,org.springframework.cloud,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-infrastructure/ace-monitor/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-actuator::::groupId::::org.springframework.boot <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-web::::groupId::::org.springframework.boot,Spring-Cloud-Platform,project.dependencies.dependency_spring-boot-starter-actuator.groupId,org.springframework.boot,ConfigType.NAME,ace-infrastructure/ace-monitor/pom.xml,maven,project.dependencies.dependency_spring-boot-starter-web.groupId,org.springframework.boot,ConfigType.NAME,ace-modules/ace-generator/pom.xml,maven
value-equality,Spring-Cloud-Platform::::ace-modules/ace-admin/src/main/resources/application.yml::::spring.datasource.testWhileIdle::::True <-> Spring-Cloud-Platform::::ace-modules/ace-generator/src/main/resources/application.yml::::feign.compression.response.enabled::::True,Spring-Cloud-Platform,spring.datasource.testWhileIdle,TRUE,ConfigType.VERSION_NUMBER,ace-modules/ace-admin/src/main/resources/application.yml,spring,feign.compression.response.enabled,TRUE,ConfigType.BOOLEAN,ace-modules/ace-generator/src/main/resources/application.yml,spring
value-equality,Spring-Cloud-Platform::::ace-dev-base/ace-auth-sdk/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> Spring-Cloud-Platform::::ace-modules/ace-generator/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,Spring-Cloud-Platform,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,ace-dev-base/ace-auth-sdk/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,ace-modules/ace-generator/pom.xml,maven
