dependency_category,link_str,project,option_name,option_value,option_type,option_file,option_technology,dependent_option_name,dependent_option_value,dependent_option_type,dependent_option_file,dependent_option_technology
value-equality,jetlinks-community::::jetlinks-components/logging-component/pom.xml::::project::::dependencies::::dependency_gateway-component::::groupId::::org.jetlinks.community <-> jetlinks-community::::pom.xml::::project::::groupId::::org.jetlinks.community,jetlinks-community,project.dependencies.dependency_gateway-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/logging-component/pom.xml,maven,project.groupId,org.jetlinks.community,ConfigType.NAME,pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/common-component/pom.xml::::project::::dependencies::::dependency_cron-utils::::scope::::compile <-> jetlinks-community::::pom.xml::::project::::build::::plugins::::plugin_gmavenplus-plugin::::executions::::execution::::goals::::goal_compile::::compile,jetlinks-community,project.dependencies.dependency_cron-utils.scope,compile,ConfigType.UNKNOWN,jetlinks-components/common-component/pom.xml,maven,project.build.plugins.plugin_gmavenplus-plugin.executions.execution.goals.goal_compile,compile,ConfigType.UNKNOWN,pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/network-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/network-component/tcp-component/pom.xml::::project::::parent_network-component::::relativePath::::../pom.xml,jetlinks-community,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/network-component/pom.xml,maven,project.parent_network-component.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/network-component/tcp-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/device-manager/pom.xml::::project::::dependencies::::dependency_script-component::::groupId::::org.jetlinks.community <-> jetlinks-community::::jetlinks-manager/network-manager/pom.xml::::project::::dependencies::::dependency_protocol-component::::groupId::::org.jetlinks.community,jetlinks-community,project.dependencies.dependency_script-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-manager/device-manager/pom.xml,maven,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-manager/network-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/gateway-component/pom.xml::::project::::parent_jetlinks-components::::version::::version:2.2.0-SNAPSHOT <-> jetlinks-community::::jetlinks-components/notify-component/notify-email/pom.xml::::project::::parent_notify-component::::version::::version:2.2.0-SNAPSHOT,jetlinks-community,project.parent_jetlinks-components.version,version:2.2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,jetlinks-components/gateway-component/pom.xml,maven,project.parent_notify-component.version,version:2.2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,jetlinks-components/notify-component/notify-email/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-voice/pom.xml::::project::::dependencies::::dependency_notify-core::::groupId::::${project.groupId} <-> jetlinks-community::::jetlinks-manager/rule-engine-manager/pom.xml::::project::::dependencies::::dependency_rule-engine-component::::groupId::::${project.groupId},jetlinks-community,project.dependencies.dependency_notify-core.groupId,${project.groupId},ConfigType.NAME,jetlinks-components/notify-component/notify-voice/pom.xml,maven,project.dependencies.dependency_rule-engine-component.groupId,${project.groupId},ConfigType.NAME,jetlinks-manager/rule-engine-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/gateway-component/pom.xml::::project::::dependencies::::dependency_jetlinks-core::::groupId::::org.jetlinks <-> jetlinks-community::::jetlinks-components/relation-component/pom.xml::::project::::dependencies::::dependency_reactor-ql::::groupId::::org.jetlinks,jetlinks-community,project.dependencies.dependency_jetlinks-core.groupId,org.jetlinks,ConfigType.NAME,jetlinks-components/gateway-component/pom.xml,maven,project.dependencies.dependency_reactor-ql.groupId,org.jetlinks,ConfigType.NAME,jetlinks-components/relation-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/rule-engine-component/pom.xml::::project::::dependencies::::dependency_gateway-component::::groupId::::${project.groupId} <-> jetlinks-community::::jetlinks-manager/device-manager/pom.xml::::project::::dependencies::::dependency_io-component::::groupId::::${project.groupId},jetlinks-community,project.dependencies.dependency_gateway-component.groupId,${project.groupId},ConfigType.NAME,jetlinks-components/rule-engine-component/pom.xml,maven,project.dependencies.dependency_io-component.groupId,${project.groupId},ConfigType.NAME,jetlinks-manager/device-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-dingtalk/pom.xml::::project::::parent_notify-component::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/notify-component/notify-email/pom.xml::::project::::parent_notify-component::::relativePath::::../pom.xml,jetlinks-community,project.parent_notify-component.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/notify-component/notify-dingtalk/pom.xml,maven,project.parent_notify-component.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/notify-component/notify-email/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/elasticsearch-component/pom.xml::::project::::dependencies::::dependency_hsweb-commons-crud::::groupId::::org.hswebframework.web <-> jetlinks-community::::jetlinks-manager/authentication-manager/pom.xml::::project::::dependencies::::dependency_hsweb-starter::::groupId::::org.hswebframework.web,jetlinks-community,project.dependencies.dependency_hsweb-commons-crud.groupId,org.hswebframework.web,ConfigType.NAME,jetlinks-components/elasticsearch-component/pom.xml,maven,project.dependencies.dependency_hsweb-starter.groupId,org.hswebframework.web,ConfigType.NAME,jetlinks-manager/authentication-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/common-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-components/network-component/mqtt-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/common-component/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/network-component/mqtt-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-voice/pom.xml::::project::::parent_notify-component::::version::::version:2.2.0-SNAPSHOT <-> jetlinks-community::::jetlinks-manager/notify-manager/pom.xml::::project::::parent_jetlinks-manager::::version::::version:2.2.0-SNAPSHOT,jetlinks-community,project.parent_notify-component.version,version:2.2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,jetlinks-components/notify-component/notify-voice/pom.xml,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,jetlinks-manager/notify-manager/pom.xml,maven
value-equality,jetlinks-community::::pom.xml::::project::::dependencies::::dependency_commons-text::::groupId::::org.apache.commons <-> jetlinks-community::::pom.xml::::project::::dependencyManagement::::dependencies::::dependency_commons-text::::groupId::::org.apache.commons,jetlinks-community,project.dependencies.dependency_commons-text.groupId,org.apache.commons,ConfigType.NAME,pom.xml,maven,project.dependencyManagement.dependencies.dependency_commons-text.groupId,org.apache.commons,ConfigType.NAME,pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-sms/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-components/rule-engine-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/notify-component/notify-sms/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/rule-engine-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/elasticsearch-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/network-component/network-core/pom.xml::::project::::parent_network-component::::relativePath::::../pom.xml,jetlinks-community,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/elasticsearch-component/pom.xml,maven,project.parent_network-component.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/network-component/network-core/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/network-manager/pom.xml::::project::::dependencies::::dependency_jetlinks-supports::::version::::jetlinks-supports:${jetlinks.version} <-> jetlinks-community::::jetlinks-standalone/pom.xml::::project::::dependencies::::dependency_jetlinks-supports::::version::::jetlinks-supports:${jetlinks.version},jetlinks-community,project.dependencies.dependency_jetlinks-supports.version,jetlinks-supports:${jetlinks.version},ConfigType.VERSION_NUMBER,jetlinks-manager/network-manager/pom.xml,maven,project.dependencies.dependency_jetlinks-supports.version,jetlinks-supports:${jetlinks.version},ConfigType.VERSION_NUMBER,jetlinks-standalone/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/timeseries-component/pom.xml::::project::::parent_jetlinks-components::::groupId::::org.jetlinks.community <-> jetlinks-community::::jetlinks-manager/network-manager/pom.xml::::project::::dependencies::::dependency_protocol-component::::groupId::::org.jetlinks.community,jetlinks-community,project.parent_jetlinks-components.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/timeseries-component/pom.xml,maven,project.dependencies.dependency_protocol-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-manager/network-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/network-component/http-component/pom.xml::::project::::dependencies::::dependency_network-core::::groupId::::org.jetlinks.community <-> jetlinks-community::::jetlinks-components/notify-component/notify-core/pom.xml::::project::::dependencies::::dependency_rule-engine-component::::groupId::::org.jetlinks.community,jetlinks-community,project.dependencies.dependency_network-core.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/network-component/http-component/pom.xml,maven,project.dependencies.dependency_rule-engine-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/notify-component/notify-core/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-manager/device-manager/pom.xml::::project::::parent_jetlinks-manager::::version::::version:2.2.0-SNAPSHOT <-> jetlinks-community::::jetlinks-manager/network-manager/pom.xml::::project::::parent_jetlinks-manager::::version::::version:2.2.0-SNAPSHOT,jetlinks-community,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,jetlinks-manager/device-manager/pom.xml,maven,project.parent_jetlinks-manager.version,version:2.2.0-SNAPSHOT,ConfigType.VERSION_NUMBER,jetlinks-manager/network-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/script-component/pom.xml::::project::::parent_jetlinks-components::::groupId::::org.jetlinks.community <-> jetlinks-community::::jetlinks-components/things-component/pom.xml::::project::::dependencies::::dependency_common-component::::groupId::::org.jetlinks.community,jetlinks-community,project.parent_jetlinks-components.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/script-component/pom.xml,maven,project.dependencies.dependency_common-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/things-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/script-component/pom.xml::::project::::dependencies::::dependency_common-component::::version::::common-component:${project.version} <-> jetlinks-community::::jetlinks-manager/notify-manager/pom.xml::::project::::dependencies::::dependency_common-component::::version::::common-component:${project.version},jetlinks-community,project.dependencies.dependency_common-component.version,common-component:${project.version},ConfigType.VERSION_NUMBER,jetlinks-components/script-component/pom.xml,maven,project.dependencies.dependency_common-component.version,common-component:${project.version},ConfigType.VERSION_NUMBER,jetlinks-manager/notify-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-core/pom.xml::::project::::dependencies::::dependency_relation-component::::groupId::::org.jetlinks.community <-> jetlinks-community::::jetlinks-manager/logging-manager/pom.xml::::project::::parent_jetlinks-manager::::groupId::::org.jetlinks.community,jetlinks-community,project.dependencies.dependency_relation-component.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-components/notify-component/notify-core/pom.xml,maven,project.parent_jetlinks-manager.groupId,org.jetlinks.community,ConfigType.NAME,jetlinks-manager/logging-manager/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/logging-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0 <-> jetlinks-community::::jetlinks-components/timeseries-component/pom.xml::::project::::modelVersion::::modelVersion:4.0.0,jetlinks-community,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/logging-component/pom.xml,maven,project.modelVersion,modelVersion:4.0.0,ConfigType.VERSION_NUMBER,jetlinks-components/timeseries-component/pom.xml,maven
value-equality,jetlinks-community::::jetlinks-components/dashboard-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml <-> jetlinks-community::::jetlinks-components/protocol-component/pom.xml::::project::::parent_jetlinks-components::::relativePath::::../pom.xml,jetlinks-community,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/dashboard-component/pom.xml,maven,project.parent_jetlinks-components.relativePath,../pom.xml,ConfigType.PATH,jetlinks-components/protocol-component/pom.xml,maven
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
value-equality,jetlinks-community::::jetlinks-components/notify-component/notify-email/pom.xml::::project::::dependencies::::dependency_notify-core::::version::::notify-core:${project.version} <-> jetlinks-community::::jetlinks-components/notify-component/notify-webhook/pom.xml::::project::::dependencies::::dependency_notify-core::::version::::notify-core:${project.version},jetlinks-community,project.dependencies.dependency_notify-core.version,notify-core:${project.version},ConfigType.VERSION_NUMBER,jetlinks-components/notify-component/notify-email/pom.xml,maven,project.dependencies.dependency_notify-core.version,notify-core:${project.version},ConfigType.VERSION_NUMBER,jetlinks-components/notify-component/notify-webhook/pom.xml,maven
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
